实测ID,H,D,AGB,Tree_ID
6,6.9,25.6,79.02019367,24
2,7.7,22.5,70.77411233,46
52,7.2,15,36.87862221,59
40,9.2,22,78.12089996,66
47,9.4,24,90.32501245,70
54,10.6,17,59.18107363,71
1,7.5,19,53.99643758,72
10,8.5,17.7,53.33566814,75
53,6.6,16.7,40.54604196,84
7,5.8,17,37.8242169,88
4,8.2,17.5,51.0628713,92
39,7.4,15.5,39.5140975,96
38,7,16,39.74733355,98
42,8.4,18.5,56.4556332,99
11,4,15.5,25.02701878,103
8,8.9,28.1,109.6186072,109
29,8.5,17.1,50.67342485,115
45,7.1,14,32.94406348,117
15,10.6,14,44.35949173,119
3,7.5,20.1,58.70245845,120
48,7,19,51.30043059,124
30,6.5,11.7,23.63660996,125
28,7.2,19,52.38459929,127
46,8.2,23.7,80.10569871,133
36,7.8,12.8,30.92496356,141
14,8.8,24.2,87.07503944,143
13,8.8,18.5,58.43941671,144
37,8,17.5,50.13534971,147
26,7,16,39.74733355,150
19,9.2,21.6,76.02129961,156
12,8.1,20.5,63.99937045,162
16,10,15.5,49.41193063,164
34,9.2,19.2,63.82430149,166
22,6,15,32.21010303,171
27,8.3,15.5,43.02858032,178
24,6.2,14.8,32.35254559,181
21,6.7,20.8,56.80205659,188
35,7.9,15.5,41.47937683,195
25,7.8,19,55.59174654,197
17,10.3,23.9,96.07161628,201
20,4.4,9,11.98401757,208
23,5.2,18.1,38.28179859,224
33,7,13.5,30.88539642,278
9,7.6,17,46.22901777,316
51,6.2,16,36.32284511,322
