 µ≤‚ID,H,D,AGB,New_Tree_ID,Original_Tree_ID
15,8.1,23.5,78.38676803,1,01_12
1,9.9,26.7,109.9667645,2,01_21
4,11,27.5,124.2417737,3,01_23
75,9.6,25.9,102.7364149,4,01_33
16,11.2,25.9,115.1925426,5,01_36
3,10.2,25.6,105.6228538,6,01_37
82,10.7,24.3,101.2935124,7,01_40
83,9.7,29,122.4516333,8,01_41
81,9,22.7,80.51530395,9,01_42
84,8.5,20.9,68.26173975,10,01_43
12,9.7,26.5,107.1107536,11,01_46
86,8.9,26.1,98.23680826,12,01_49
8,10.1,21.3,79.80092627,13,01_53
73,8.3,24,82.35359615,14,01_55
76,9.8,16.3,52.4528406,15,01_59
7,9.6,19.5,67.40703717,16,01_62
74,9.4,23.9,89.7667815,17,01_66
11,9.6,23.2,87.24396389,18,01_74
78,9.5,26.8,107.244443,19,01_77
80,8.2,24,81.61584885,20,01_85
77,10.7,23.2,94.56072651,21,01_95
10,9.3,32.3,139.2774604,22,01_103
79,8.9,15,43.16346906,23,01_109
88,10.2,22.9,89.51356569,24,01_119
9,9,25.3,94.58074054,25,01_121
90,10.5,21.4,82.70858614,26,01_132
72,8,26,90.24573857,27,01_134
2,8.6,21.6,72.30884802,28,01_136
13,6.7,21,57.61488017,29,01_150
89,6.9,19.3,51.94978912,30,01_151
6,6.9,25.6,79.02019367,31,03_24
2,7.7,22.5,70.77411233,32,03_46
52,7.2,15,36.87862221,33,03_59
40,9.2,22,78.12089996,34,03_66
47,9.4,24,90.32501245,35,03_70
54,10.6,17,59.18107363,36,03_71
1,7.5,19,53.99643758,37,03_72
10,8.5,17.7,53.33566814,38,03_75
53,6.6,16.7,40.54604196,39,03_84
7,5.8,17,37.8242169,40,03_88
4,8.2,17.5,51.0628713,41,03_92
39,7.4,15.5,39.5140975,42,03_96
38,7,16,39.74733355,43,03_98
42,8.4,18.5,56.4556332,44,03_99
11,4,15.5,25.02701878,45,03_103
8,8.9,28.1,109.6186072,46,03_109
29,8.5,17.1,50.67342485,47,03_115
45,7.1,14,32.94406348,48,03_117
15,10.6,14,44.35949173,49,03_119
3,7.5,20.1,58.70245845,50,03_120
48,7,19,51.30043059,51,03_124
30,6.5,11.7,23.63660996,52,03_125
28,7.2,19,52.38459929,53,03_127
46,8.2,23.7,80.10569871,54,03_133
36,7.8,12.8,30.92496356,55,03_141
14,8.8,24.2,87.07503944,56,03_143
13,8.8,18.5,58.43941671,57,03_144
37,8,17.5,50.13534971,58,03_147
26,7,16,39.74733355,59,03_150
19,9.2,21.6,76.02129961,60,03_156
12,8.1,20.5,63.99937045,61,03_162
16,10,15.5,49.41193063,62,03_164
34,9.2,19.2,63.82430149,63,03_166
22,6,15,32.21010303,64,03_171
27,8.3,15.5,43.02858032,65,03_178
24,6.2,14.8,32.35254559,66,03_181
21,6.7,20.8,56.80205659,67,03_188
35,7.9,15.5,41.47937683,68,03_195
25,7.8,19,55.59174654,69,03_197
17,10.3,23.9,96.07161628,70,03_201
20,4.4,9,11.98401757,71,03_208
23,5.2,18.1,38.28179859,72,03_224
33,7,13.5,30.88539642,73,03_278
9,7.6,17,46.22901777,74,03_316
51,6.2,16,36.32284511,75,03_322
