Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
ave_a_NDVI,0.1791 ± 0.0797,24.1986 ± 6.6944,20.4418 ± 6.9209,36.05,AGB = -425.4891 * ave_a_NDVI + 426.7436
ave_a_ND800_680,0.1576 ± 0.1038,24.5717 ± 7.0897,20.7041 ± 7.1869,36.61,AGB = -339.5800 * ave_a_ND800_680 + 340.7989
ave_a_mND_705,0.1342 ± 0.1761,24.9390 ± 7.8387,20.7374 ± 7.5849,37.15,AGB = -294.6016 * ave_a_mND_705 + 232.4720
ave_a_DD,-0.0329 ± 0.1441,27.1232 ± 7.4328,22.8596 ± 7.2009,40.41,AGB = -433.1204 * ave_a_DD + 91.8282
ave_a_mSR_705,0.1336 ± 0.1776,24.9220 ± 7.7405,20.7002 ± 7.5185,37.13,AGB = -28.7186 * ave_a_mSR_705 + 170.1083
ave_a_DATT,0.0128 ± 0.1058,26.3210 ± 6.3317,23.2842 ± 6.8069,39.21,AGB = -1.9870 * ave_a_DATT + 95.2829
ave_a_Chl_Rred_edge,0.1883 ± 0.1800,24.0712 ± 7.5133,20.2108 ± 6.8324,35.86,AGB = -93.3415 * ave_a_Chl_Rred_edge + 180.4642
ave_a_TBI_13,0.3202 ± 0.1013,21.4896 ± 3.4722,18.3113 ± 2.9858,32.02,AGB = 86.9978 * ave_a_TBI_13 + 5.8490
ave_a_TBI_24,0.2808 ± 0.1063,22.1258 ± 3.8009,18.8757 ± 3.3983,32.96,AGB = -600.6959 * ave_a_TBI_24 + 284.6188
ave_a_TBI_25,0.2808 ± 0.1063,22.1258 ± 3.8009,18.8757 ± 3.3983,32.96,AGB = 600.6959 * ave_a_TBI_25 + -316.0771
