Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
ave_NDVI,0.0623 ± 0.1165,26.0041 ± 7.7979,22.0249 ± 8.1663,38.74,AGB = -339.3562 * ave_NDVI + 358.0411
ave_ND800_680,0.0113 ± 0.1098,26.6602 ± 7.7307,22.6308 ± 8.1832,39.72,AGB = -202.7852 * ave_ND800_680 + 233.2780
ave_mND_705,-0.0554 ± 0.0862,27.4673 ± 7.5733,23.8255 ± 7.6338,40.92,AGB = -109.3745 * ave_mND_705 + 129.9792
ave_DD,-0.1187 ± 0.1171,28.0197 ± 6.6613,24.5545 ± 6.9585,41.74,AGB = 70.5895 * ave_DD + 63.0776
ave_mSR_705,-0.0458 ± 0.0839,27.3431 ± 7.5160,23.6487 ± 7.6001,40.74,AGB = -11.0341 * ave_mSR_705 + 108.1784
ave_DATT,0.0026 ± 0.1195,26.4297 ± 6.2533,23.5867 ± 6.2966,39.38,AGB = -2.9561 * ave_DATT + 112.3888
ave_Chl_Rred_edge,-0.0009 ± 0.1189,26.8104 ± 7.7795,22.9042 ± 7.6022,39.94,AGB = -51.3864 * ave_Chl_Rred_edge + 132.6235
ave_TBI_13,0.4133 ± 0.1662,19.7539 ± 3.3984,16.0259 ± 2.8018,29.43,AGB = 89.6413 * ave_TBI_13 + 0.6712
ave_TBI_24,0.4109 ± 0.1516,19.8157 ± 3.1091,15.9889 ± 2.3532,29.52,AGB = -683.2954 * ave_TBI_24 + 309.7660
ave_TBI_25,0.4109 ± 0.1516,19.8157 ± 3.1091,15.9889 ± 2.3532,29.52,AGB = 683.2954 * ave_TBI_25 + -373.5294
