Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
sun_a_NDVI,0.1237 ± 0.0922,25.0103 ± 7.0384,20.8031 ± 7.4213,37.26,AGB = -393.3330 * sun_a_NDVI + 394.1878
sun_a_ND800_680,0.1283 ± 0.1062,24.9872 ± 7.2486,20.7111 ± 7.5288,37.23,AGB = -322.1714 * sun_a_ND800_680 + 323.9924
sun_a_mND_705,0.1208 ± 0.1596,25.1016 ± 7.6194,20.7090 ± 7.3989,37.40,AGB = -292.3530 * sun_a_mND_705 + 231.0329
sun_a_DD,0.0875 ± 0.2203,25.5071 ± 7.8860,20.9236 ± 7.4735,38.00,AGB = -605.4328 * sun_a_DD + 109.8593
sun_a_mSR_705,0.1214 ± 0.1625,25.0714 ± 7.5545,20.5862 ± 7.3638,37.35,AGB = -28.6392 * sun_a_mSR_705 + 169.6258
sun_a_DATT,-0.0892 ± 0.0717,27.6985 ± 6.6404,24.3558 ± 6.8475,41.27,AGB = -0.9460 * sun_a_DATT + 77.3342
sun_a_Chl_Rred_edge,0.1662 ± 0.1596,24.3921 ± 7.3663,20.3146 ± 6.8896,36.34,AGB = -93.7268 * sun_a_Chl_Rred_edge + 179.3571
sun_a_TBI_13,0.0048 ± 0.4192,25.4657 ± 5.1330,21.3867 ± 5.1490,37.94,AGB = 49.5951 * sun_a_TBI_13 + 24.6917
sun_a_TBI_24,0.0121 ± 0.3684,25.4880 ± 5.1425,21.2091 ± 5.1776,37.97,AGB = -384.3694 * sun_a_TBI_24 + 199.6630
sun_a_TBI_25,0.0121 ± 0.3684,25.4880 ± 5.1425,21.2091 ± 5.1776,37.97,AGB = 384.3694 * sun_a_TBI_25 + -184.7063
