Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
sun_b_NDVI,-0.0710 ± 0.0723,27.3784 ± 6.2007,24.2328 ± 6.1030,40.79,AGB = 232.8575 * sun_b_NDVI + -133.2331
sun_b_ND800_680,-0.0648 ± 0.0952,27.2069 ± 5.8189,24.0607 ± 5.6385,40.53,AGB = 247.1743 * sun_b_ND800_680 + -138.6543
sun_b_mND_705,-0.0923 ± 0.1652,27.4288 ± 5.5903,24.1233 ± 5.7114,40.86,AGB = 269.6215 * sun_b_mND_705 + -94.7473
sun_b_DD,-0.0982 ± 0.2481,27.3317 ± 5.4907,23.7664 ± 5.4346,40.72,AGB = 670.8335 * sun_b_DD + 12.4061
sun_b_mSR_705,-0.0958 ± 0.1869,27.4268 ± 5.5381,24.0878 ± 5.6989,40.86,AGB = 22.3195 * sun_b_mSR_705 + -22.8727
sun_b_DATT,-0.0780 ± 0.0704,27.5654 ± 6.5999,24.4898 ± 6.3890,41.07,AGB = -2.5732 * sun_b_DATT + 97.8822
sun_b_Chl_Rred_edge,-0.0870 ± 0.1718,27.3858 ± 5.7830,24.1341 ± 6.0917,40.80,AGB = 61.5372 * sun_b_Chl_Rred_edge + -17.8285
sun_b_TBI_13,-0.0435 ± 0.0462,27.2314 ± 6.9810,23.7817 ± 6.9305,40.57,AGB = 0.0167 * sun_b_TBI_13 + 67.0988
sun_b_TBI_24,-0.9916 ± 2.0454,32.3388 ± 11.0322,25.1202 ± 6.3196,48.18,AGB = -17.8272 * sun_b_TBI_24 + 72.1967
sun_b_TBI_25,-0.9916 ± 2.0454,32.3388 ± 11.0322,25.1202 ± 6.3196,48.18,AGB = 17.8272 * sun_b_TBI_25 + 54.3694
