Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
sun_NDVI,-0.0113 ± 0.1038,26.9504 ± 7.7607,23.1002 ± 8.0447,40.15,AGB = -190.3439 * sun_NDVI + 228.0485
sun_ND800_680,-0.0392 ± 0.0978,27.2969 ± 7.7349,23.6322 ± 7.9170,40.67,AGB = -109.7930 * sun_ND800_680 + 156.5718
sun_mND_705,-0.0927 ± 0.0920,27.9156 ± 7.5974,24.3989 ± 7.5119,41.59,AGB = -50.5279 * sun_mND_705 + 96.4522
sun_DD,-0.1279 ± 0.1006,28.2450 ± 7.1801,24.6603 ± 7.3297,42.08,AGB = -39.7215 * sun_DD + 70.1443
sun_mSR_705,-0.0855 ± 0.0862,27.8277 ± 7.5535,24.2767 ± 7.4545,41.46,AGB = -5.1382 * sun_mSR_705 + 86.5770
sun_DATT,-0.0941 ± 0.0979,27.7428 ± 6.6832,24.7357 ± 6.6887,41.33,AGB = -1.7932 * sun_DATT + 87.4373
sun_Chl_Rred_edge,-0.0559 ± 0.1044,27.5163 ± 7.8462,23.8386 ± 7.4485,40.99,AGB = -29.6238 * sun_Chl_Rred_edge + 105.1681
sun_TBI_13,0.3241 ± 0.1976,21.0167 ± 3.0429,17.1142 ± 2.9556,31.31,AGB = 43.5912 * sun_TBI_13 + 22.3662
sun_TBI_24,0.3012 ± 0.2188,21.2521 ± 2.4269,17.3322 ± 2.0112,31.66,AGB = -438.2456 * sun_TBI_24 + 209.2949
sun_TBI_25,0.3012 ± 0.2188,21.2521 ± 2.4269,17.3322 ± 2.0112,31.66,AGB = 438.2456 * sun_TBI_25 + -228.9507
