Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
w_NDVI,-0.1020 ± 0.4019,28.2421 ± 4.8085,22.8255 ± 3.2976,42.08,AGB = -93.0395 * w_NDVI + 133.1445
w_ND800_680,-0.0555 ± 0.2918,27.8363 ± 4.1097,22.6741 ± 3.1391,41.47,AGB = -89.7302 * w_ND800_680 + 127.2230
w_mND_705,0.0633 ± 0.1635,26.4479 ± 3.9292,21.7691 ± 3.5933,39.40,AGB = -130.7876 * w_mND_705 + 119.8107
w_DD,0.0971 ± 0.1747,25.9509 ± 4.0845,21.3733 ± 3.8164,38.66,AGB = -133.7566 * w_DD + 77.8593
w_mSR_705,0.0933 ± 0.1836,26.0287 ± 4.3947,21.4282 ± 4.1623,38.78,AGB = -25.9205 * w_mSR_705 + 129.3041
w_DATT,0.1587 ± 0.1188,25.1100 ± 3.5626,20.8628 ± 3.3698,37.41,AGB = -30.3898 * w_DATT + 124.1484
w_Chl_Rred_edge,0.1198 ± 0.1781,25.6384 ± 4.3051,21.0923 ± 4.1119,38.20,AGB = -67.9063 * w_Chl_Rred_edge + 111.7628
w_TBI_13,0.4763 ± 0.0950,19.8220 ± 3.2707,16.3648 ± 3.1709,29.53,AGB = 125.6429 * w_TBI_13 + -5.3611
w_TBI_24,0.4737 ± 0.0917,19.8735 ± 3.2050,16.3212 ± 3.5495,29.61,AGB = -828.8006 * w_TBI_24 + 380.5010
w_TBI_25,0.4737 ± 0.0917,19.8735 ± 3.2050,16.3212 ± 3.5495,29.61,AGB = 828.8006 * w_TBI_25 + -448.2997
