Original_Tree_ID,New_Tree_ID
01_12,1
01_21,2
01_23,3
01_33,4
01_36,5
01_37,6
01_40,7
01_41,8
01_42,9
01_43,10
01_46,11
01_49,12
01_53,13
01_55,14
01_59,15
01_62,16
01_66,17
01_74,18
01_77,19
01_85,20
01_95,21
01_103,22
01_109,23
01_119,24
01_121,25
01_132,26
01_134,27
01_136,28
01_150,29
01_151,30
03_24,31
03_46,32
03_59,33
03_66,34
03_70,35
03_71,36
03_72,37
03_75,38
03_84,39
03_88,40
03_92,41
03_96,42
03_98,43
03_99,44
03_103,45
03_109,46
03_115,47
03_117,48
03_119,49
03_120,50
03_124,51
03_125,52
03_127,53
03_133,54
03_141,55
03_143,56
03_144,57
03_147,58
03_150,59
03_156,60
03_162,61
03_164,62
03_166,63
03_171,64
03_178,65
03_181,66
03_188,67
03_195,68
03_197,69
03_201,70
03_208,71
03_224,72
03_278,73
03_316,74
03_322,75
