New_Tree_ID,Original_Tree_ID,AGB,ave_390nm,ave_394nm,ave_398nm,ave_402nm,ave_406nm,ave_410nm,ave_414nm,ave_418nm,ave_422nm,ave_426nm,ave_430nm,ave_434nm,ave_438nm,ave_442nm,ave_446nm,ave_450nm,ave_454nm,ave_458nm,ave_462nm,ave_466nm,ave_470nm,ave_474nm,ave_478nm,ave_482nm,ave_486nm,ave_490nm,ave_494nm,ave_498nm,ave_502nm,ave_506nm,ave_510nm,ave_514nm,ave_518nm,ave_522nm,ave_526nm,ave_530nm,ave_534nm,ave_538nm,ave_542nm,ave_546nm,ave_550nm,ave_554nm,ave_558nm,ave_562nm,ave_566nm,ave_570nm,ave_574nm,ave_578nm,ave_582nm,ave_586nm,ave_590nm,ave_594nm,ave_598nm,ave_602nm,ave_606nm,ave_610nm,ave_614nm,ave_618nm,ave_622nm,ave_626nm,ave_630nm,ave_634nm,ave_638nm,ave_642nm,ave_646nm,ave_650nm,ave_654nm,ave_658nm,ave_662nm,ave_666nm,ave_670nm,ave_674nm,ave_678nm,ave_682nm,ave_686nm,ave_690nm,ave_694nm,ave_698nm,ave_702nm,ave_706nm,ave_710nm,ave_714nm,ave_718nm,ave_722nm,ave_726nm,ave_730nm,ave_734nm,ave_738nm,ave_742nm,ave_746nm,ave_750nm,ave_754nm,ave_758nm,ave_762nm,ave_766nm,ave_770nm,ave_774nm,ave_778nm,ave_782nm,ave_786nm,ave_790nm,ave_794nm,ave_798nm,ave_802nm,ave_806nm,ave_810nm,ave_814nm,ave_818nm,ave_822nm,ave_826nm,ave_830nm,ave_834nm,ave_838nm,ave_842nm,ave_846nm,ave_850nm,ave_854nm,ave_858nm,ave_862nm,ave_866nm,ave_870nm,ave_874nm,ave_878nm,ave_882nm,ave_886nm,ave_890nm,ave_894nm,ave_898nm,ave_902nm,ave_906nm,ave_910nm,ave_914nm,ave_918nm,ave_922nm,ave_926nm,ave_930nm,ave_934nm,ave_938nm,ave_942nm,ave_946nm,ave_950nm,ave_954nm,ave_958nm,ave_962nm
1,01_12,78.38676803,0.000170695,0.000787777,0.00176626,0.002854623,0.003875819,0.00472637,0.005430207,0.006087093,0.006635983,0.007036032,0.007594661,0.008348936,0.009173273,0.009706937,0.010233197,0.011343448,0.013129979,0.014794792,0.015661891,0.015941543,0.016149944,0.016483889,0.016747825,0.016855208,0.016881817,0.017073693,0.017407814,0.017839144,0.018232313,0.018740559,0.019683711,0.021091752,0.022630418,0.02401246,0.025276584,0.026308336,0.027123267,0.027731329,0.028167479,0.028517209,0.028962161,0.029603975,0.029989928,0.029864583,0.029250021,0.028481548,0.027643648,0.027001532,0.026613547,0.026474594,0.02656329,0.026865753,0.027184511,0.027437858,0.027664877,0.027753833,0.02771266,0.027669276,0.027737417,0.02790089,0.028020144,0.028019602,0.027840761,0.02758674,0.027257595,0.026881574,0.026416575,0.025940011,0.025437835,0.024816765,0.024915763,0.026062756,0.027879512,0.029520636,0.031395183,0.034508589,0.03895306,0.04496575,0.05227655,0.060810897,0.069727313,0.080073788,0.09214673,0.105091971,0.117314724,0.128651079,0.139573176,0.149625082,0.158203121,0.164604222,0.168377303,0.169635658,0.171223778,0.175509275,0.179899905,0.181581448,0.1820239,0.183879109,0.186934855,0.189652776,0.191562352,0.192653807,0.193477647,0.194275024,0.19516581,0.196644865,0.198628999,0.200682742,0.202865091,0.20527391,0.207257722,0.208384493,0.209149383,0.210254087,0.211801772,0.213438633,0.21485972,0.216117869,0.217443146,0.218584233,0.219482053,0.220453469,0.221292082,0.221593406,0.221560449,0.221295266,0.219773365,0.218520932,0.218852556,0.220432047,0.221822043,0.223372724,0.223809558,0.223351389,0.221621972,0.216704629,0.203527168,0.188993338,0.178128575,0.171796055,0.167470184,0.166180688,0.165807548,0.164885633
2,01_21,109.9667645,8.91E-05,0.000477767,0.001128239,0.001881226,0.002602128,0.003215211,0.003745949,0.00420978,0.004622417,0.004976531,0.005464311,0.006075583,0.006760194,0.007270304,0.00779359,0.008836175,0.010438236,0.011919817,0.012705952,0.012945827,0.013142593,0.013484418,0.013816828,0.013927444,0.013970475,0.014179718,0.014528533,0.014900774,0.015239972,0.015677208,0.016545168,0.017837087,0.019283809,0.020588753,0.021756715,0.022701149,0.023487053,0.02405675,0.024318149,0.024469346,0.024783142,0.025403881,0.025714255,0.025422041,0.024564554,0.023702088,0.022861723,0.022307985,0.022022182,0.021969599,0.021978654,0.022086982,0.02222076,0.02233914,0.02242887,0.022455708,0.022446571,0.022476124,0.022533725,0.022636711,0.022688894,0.022674775,0.022442488,0.022051397,0.021579445,0.021092582,0.020494084,0.019890895,0.01935375,0.018734027,0.018757535,0.019737116,0.021336117,0.022825585,0.024560972,0.027507726,0.031672457,0.037346643,0.044249227,0.052293983,0.060855144,0.070972402,0.082926711,0.095753654,0.108089861,0.119892764,0.131537957,0.142437611,0.151893427,0.159070613,0.163358969,0.164968604,0.166827062,0.171195402,0.175515973,0.177263205,0.177810971,0.179682974,0.182611984,0.18522499,0.186874545,0.187560266,0.188043233,0.188782276,0.189968066,0.191623354,0.193287842,0.194889086,0.197023034,0.199677498,0.201718918,0.202805511,0.203482195,0.204555675,0.206207956,0.207852246,0.209053556,0.209901511,0.210808117,0.21154402,0.212159826,0.213038647,0.2136519,0.213623452,0.213176462,0.212312661,0.209993421,0.208144096,0.208429036,0.210158604,0.211793413,0.213430802,0.213537004,0.212464064,0.21023371,0.205417206,0.191888601,0.176024884,0.162753841,0.154958719,0.149441404,0.146825906,0.145385915,0.144673278
3,01_23,124.2417737,0.000182093,0.000593793,0.00122912,0.001994969,0.002793118,0.003473352,0.003992801,0.004430856,0.004840387,0.005231675,0.005678214,0.006132584,0.006628083,0.007081425,0.007535201,0.008511526,0.010099959,0.011658562,0.012461657,0.01263819,0.012769733,0.013045456,0.013329799,0.013451419,0.013502095,0.013624512,0.013790205,0.013995089,0.014285254,0.014786022,0.015795132,0.017269531,0.018887052,0.020180394,0.021229474,0.02215917,0.023128481,0.023908263,0.024239625,0.024275637,0.024458244,0.024944421,0.025128159,0.02464844,0.023664593,0.022683042,0.021790899,0.021125771,0.020744111,0.020538276,0.020414382,0.020340103,0.020337579,0.020358779,0.020402743,0.020369319,0.020229961,0.020046507,0.019944553,0.019976614,0.019976261,0.019890275,0.019637191,0.019231137,0.018709684,0.018102606,0.017373003,0.016599833,0.01598238,0.015363068,0.015364185,0.016157922,0.017488996,0.018857646,0.020566221,0.023547056,0.027827609,0.03364568,0.040724546,0.04890331,0.05751456,0.06732567,0.079209397,0.092162232,0.104714483,0.116377956,0.127862015,0.138657959,0.148027943,0.155034354,0.159150972,0.161030209,0.163153885,0.166952613,0.17045552,0.171882798,0.17236337,0.173861635,0.176519897,0.179181386,0.180993479,0.181973532,0.182608144,0.183439249,0.184842166,0.186661889,0.188020494,0.189123422,0.190838326,0.193141438,0.194949055,0.196079893,0.196945145,0.198004973,0.199493342,0.20103431,0.202269399,0.20307592,0.203715906,0.204086531,0.204481509,0.205166062,0.205600537,0.205591258,0.205384461,0.204701502,0.203146364,0.202332316,0.203317966,0.205005351,0.206890679,0.208512015,0.208717249,0.207726471,0.206130378,0.201416068,0.189686354,0.175432796,0.163370806,0.155077907,0.148627549,0.144495207,0.142148346,0.141085797
4,01_33,102.7364149,0.000179878,0.000764688,0.001589687,0.002354406,0.003015818,0.003694283,0.004387996,0.005089477,0.005663232,0.006217272,0.00682992,0.007452496,0.008078314,0.008617596,0.009232923,0.010355833,0.012107881,0.013770444,0.01465907,0.01485663,0.015021104,0.01534488,0.015654363,0.015817231,0.015947648,0.016135314,0.016335405,0.016570701,0.016937619,0.017519679,0.018554999,0.019935577,0.021464603,0.022725678,0.023774996,0.024684973,0.025578592,0.0262829,0.026678313,0.026882337,0.027091875,0.027421698,0.027495467,0.027114782,0.026329841,0.025572523,0.024913002,0.024438895,0.024098864,0.023912702,0.023827774,0.023833593,0.023954379,0.024150708,0.024351099,0.024415407,0.024384521,0.024344353,0.024339331,0.0243833,0.02441909,0.024444103,0.024277854,0.023909964,0.023476444,0.022995489,0.022414648,0.02177622,0.021243857,0.020667015,0.020704776,0.021667575,0.023245368,0.024829039,0.026598808,0.029572854,0.033896867,0.039801933,0.047015319,0.055347508,0.06428084,0.07456948,0.087219975,0.10109389,0.114514996,0.126928217,0.139160547,0.150761454,0.160933561,0.168704001,0.173339847,0.175469979,0.177804632,0.18211533,0.18647197,0.18841563,0.188930771,0.190323666,0.193162418,0.196060935,0.198100013,0.199308917,0.200248458,0.201284418,0.202407639,0.203929175,0.205758973,0.20781661,0.210227953,0.212892696,0.214924473,0.216096143,0.216915101,0.218082713,0.2196081,0.221095493,0.222282931,0.223307413,0.224427933,0.225329795,0.225895288,0.226224218,0.226519848,0.22678529,0.226988202,0.226709767,0.225492148,0.224725691,0.225261421,0.226435686,0.227624334,0.229301368,0.230297437,0.230184769,0.228835393,0.223458092,0.210547219,0.196037239,0.184853719,0.17683868,0.170533849,0.166887063,0.164869234,0.163746835
5,01_36,115.1925426,0.000255299,0.000910283,0.001870168,0.00279588,0.003728315,0.004474466,0.005109703,0.005668234,0.006144681,0.006514755,0.006998308,0.007591882,0.008211934,0.008665861,0.009102561,0.010079936,0.011698298,0.013271585,0.014016649,0.014136327,0.014224526,0.01452356,0.014818896,0.014972051,0.015030768,0.015164459,0.015367301,0.015630266,0.015894676,0.016320237,0.01715805,0.018401564,0.019757173,0.020988587,0.022091651,0.023025894,0.02383526,0.024444559,0.024763948,0.024938722,0.025240138,0.025782601,0.026029608,0.025677168,0.024800227,0.023976229,0.023242729,0.022765181,0.022492897,0.022444266,0.022467535,0.022599255,0.022793421,0.022997823,0.023140993,0.02317384,0.023119982,0.023131566,0.023241713,0.023459957,0.023608164,0.023683871,0.023536757,0.023208587,0.022783279,0.02236748,0.021928878,0.02145984,0.020977287,0.020338623,0.020427418,0.021455925,0.023094367,0.024566089,0.02626062,0.029006928,0.032903203,0.038212726,0.044708894,0.052271278,0.06037235,0.069868069,0.081126812,0.093093194,0.104500111,0.115413782,0.126417881,0.136709784,0.145444731,0.15189803,0.155751395,0.157384109,0.15924348,0.163036783,0.166776915,0.168331817,0.168942903,0.170682919,0.173629794,0.17629773,0.17800976,0.178709567,0.179224541,0.179988087,0.18107163,0.182513695,0.184042762,0.185457323,0.187277604,0.189539526,0.191463994,0.192594638,0.193422939,0.194623362,0.196420586,0.198314395,0.199896444,0.201166967,0.202247166,0.202980291,0.203581602,0.204445334,0.205071291,0.205281536,0.205199677,0.204669921,0.202966025,0.20171324,0.202200906,0.203600496,0.204863494,0.206458743,0.207172747,0.206574299,0.205037579,0.200771736,0.189289084,0.17528226,0.163067254,0.154856147,0.149372914,0.146970832,0.145281352,0.144386601
6,01_37,105.6228538,7.95E-05,0.000408753,0.000948201,0.001612228,0.002247271,0.002898134,0.00353162,0.004165435,0.004654507,0.005070977,0.005536207,0.006070872,0.006664502,0.00722795,0.007809395,0.008804195,0.010385822,0.011928118,0.012730593,0.012887807,0.012997869,0.013269833,0.013570361,0.013747335,0.013822708,0.013938455,0.014101771,0.01432652,0.014607234,0.015093443,0.016000075,0.017271255,0.018644493,0.019804222,0.020766459,0.021559835,0.022335377,0.022948942,0.023238346,0.023314781,0.023511302,0.023920199,0.0240707,0.023682706,0.022867389,0.022006663,0.021218815,0.020692581,0.0204349,0.020323583,0.020276955,0.020313738,0.020461618,0.02059205,0.020697122,0.020690397,0.020656377,0.020628162,0.020644153,0.020725529,0.020799771,0.020827646,0.020661579,0.020327513,0.019873388,0.019364862,0.018768199,0.01815586,0.017602284,0.016993673,0.016979484,0.017845355,0.019300126,0.02065322,0.022154664,0.024795836,0.028741134,0.034190456,0.040936291,0.048781809,0.057225379,0.067061037,0.079242487,0.092683389,0.105810493,0.118295019,0.130861153,0.142866405,0.153287656,0.16125007,0.165973699,0.168076431,0.170301238,0.174483233,0.178856462,0.181172152,0.182148774,0.183735121,0.186506744,0.189265686,0.191028352,0.191730299,0.192105003,0.192657358,0.193463729,0.19458659,0.19585048,0.197345574,0.199341217,0.201738713,0.203639098,0.204836648,0.20570514,0.207097751,0.209126023,0.210997816,0.212152283,0.212878759,0.213623556,0.214190042,0.214718349,0.215318104,0.215852889,0.216104249,0.216023402,0.215349006,0.213896828,0.213005324,0.21333315,0.214534215,0.215188372,0.216346397,0.216878459,0.216509198,0.214127055,0.207981654,0.195656758,0.181974448,0.170754195,0.16201197,0.156563728,0.155441611,0.155318921,0.153564408
7,01_40,101.2935124,0.000262017,0.000965744,0.002063032,0.003103798,0.004063856,0.004819648,0.005471399,0.006054349,0.006552686,0.006911895,0.007371031,0.007954195,0.008623339,0.009136678,0.009663127,0.010596743,0.012088519,0.013545254,0.014311879,0.014480204,0.014572957,0.014813807,0.014998,0.015025521,0.015027492,0.015168661,0.015417653,0.015711758,0.016025407,0.016495228,0.017450597,0.018878015,0.020477869,0.02182835,0.022973146,0.023861447,0.024652998,0.025242386,0.025620976,0.025816846,0.026085927,0.02658902,0.026791343,0.026352939,0.025345417,0.024326883,0.023360077,0.022680343,0.022271841,0.022128738,0.022083186,0.02214738,0.022233725,0.022315469,0.022313574,0.022154818,0.02188125,0.021675669,0.021621393,0.021726998,0.021780549,0.021749811,0.021491882,0.021089479,0.020599263,0.020075814,0.019417454,0.018742684,0.018131665,0.017432709,0.017351796,0.018170015,0.019585965,0.020938111,0.022574229,0.025508382,0.029861284,0.03580422,0.043022726,0.051364645,0.060304219,0.070705593,0.083474488,0.097540405,0.111417644,0.124798671,0.138359856,0.151318195,0.162898377,0.171820611,0.177004153,0.17887661,0.180951312,0.185566857,0.190434571,0.192415099,0.192737297,0.19414789,0.197198326,0.200031563,0.201710815,0.202234496,0.202382992,0.20273683,0.203320087,0.204328927,0.205544287,0.206970769,0.20894623,0.211351844,0.213306819,0.21429314,0.214894947,0.216062319,0.217900206,0.21965489,0.220843354,0.221767871,0.222677807,0.223361202,0.223855092,0.224191576,0.224733603,0.225415257,0.226316238,0.227162847,0.227689737,0.227879949,0.22804813,0.228396702,0.228770258,0.229813473,0.23121824,0.233082591,0.233573242,0.229059858,0.217187629,0.20414665,0.193983598,0.187067896,0.181079541,0.176433795,0.171472454,0.167566336
8,01_41,122.4516333,4.43E-05,0.000264483,0.000682121,0.001262842,0.001891982,0.0024003,0.0028117,0.003204068,0.003619175,0.003955423,0.004416936,0.004985797,0.005581997,0.006070241,0.006514651,0.007370417,0.008713611,0.010077835,0.010802173,0.011016564,0.011141548,0.011371531,0.011565831,0.011620762,0.01160302,0.011693984,0.011877448,0.012136519,0.01245251,0.012941583,0.013912408,0.015306801,0.016865532,0.018220739,0.019399629,0.020340677,0.021177054,0.021781192,0.022101222,0.022255092,0.022524008,0.022986019,0.023152644,0.022745884,0.021797244,0.020763155,0.019747202,0.019034815,0.018598772,0.018403031,0.018291218,0.018326938,0.01838847,0.018478174,0.018464966,0.018365514,0.018160387,0.018023632,0.017962568,0.01801916,0.018062529,0.01811673,0.017965782,0.017591004,0.017046401,0.016503675,0.015841498,0.01514187,0.014526732,0.013871574,0.013759061,0.014417951,0.015670936,0.01704097,0.018769307,0.021700712,0.025847208,0.031521517,0.038513896,0.046627579,0.055270351,0.065275473,0.077508876,0.090954703,0.10415943,0.116737029,0.129361372,0.141332093,0.151880325,0.159950706,0.164743396,0.16665892,0.168554505,0.172605508,0.176841636,0.178527551,0.178758601,0.180036507,0.182906059,0.185611386,0.187324365,0.187959738,0.188333335,0.188967351,0.189889647,0.191147875,0.192718291,0.194439368,0.196573456,0.198975592,0.200912343,0.201928259,0.20252327,0.203723781,0.205671268,0.207494706,0.208614555,0.209371444,0.210161891,0.210763145,0.211276784,0.21182867,0.212427647,0.212860573,0.213217469,0.213738943,0.214181861,0.214622199,0.215377268,0.216538351,0.217388209,0.21837288,0.219133054,0.21992932,0.219775803,0.217033528,0.208782785,0.197747602,0.186920556,0.177551115,0.169943449,0.164617855,0.159841261,0.154729569
9,01_42,80.51530395,8.82E-05,0.000411055,0.000974101,0.001692225,0.002417419,0.003000201,0.003420993,0.003791663,0.00412449,0.004437139,0.004845609,0.005368479,0.005902992,0.006270608,0.00658284,0.007349524,0.008652282,0.009926381,0.010597301,0.010790701,0.010935574,0.011199957,0.011443514,0.011523761,0.011525569,0.011651074,0.011943222,0.012261082,0.01251531,0.01287807,0.01368191,0.014918793,0.016267782,0.017479094,0.018538609,0.019429347,0.020163538,0.020697542,0.021061111,0.021292682,0.021585372,0.021973791,0.022116528,0.021770927,0.020982468,0.020138052,0.019306752,0.018719653,0.018326263,0.018156463,0.018078805,0.01812982,0.018218723,0.018320293,0.018365908,0.018338026,0.018252639,0.018212013,0.018232265,0.018365673,0.01841465,0.018360148,0.018050727,0.017648628,0.017194504,0.016755632,0.01622943,0.015738301,0.015274925,0.01471331,0.014735796,0.015560817,0.016858145,0.018107255,0.019712342,0.022372306,0.026149104,0.031283074,0.037631056,0.044988069,0.052910533,0.062198103,0.073473458,0.085676553,0.097507495,0.108848107,0.120375617,0.131347602,0.14088232,0.14809701,0.152508587,0.154633518,0.156930709,0.161145093,0.165102774,0.166328965,0.166202892,0.167478709,0.170461767,0.173352731,0.175211121,0.17609545,0.176671234,0.177362171,0.178083226,0.179155853,0.180474445,0.181987468,0.183849004,0.186049458,0.187823355,0.188788787,0.189441965,0.190575567,0.19225576,0.193908439,0.195211984,0.196282302,0.196947272,0.197121388,0.197304279,0.197960438,0.198576388,0.19866958,0.198375123,0.198174205,0.197905475,0.197904938,0.198418978,0.199168539,0.199728475,0.200605952,0.201539706,0.202322202,0.202317819,0.198963729,0.18909864,0.177598966,0.168184177,0.161679442,0.155152769,0.149348941,0.143521326,0.13871757
10,01_43,68.26173975,5.26E-05,0.000373647,0.000896412,0.001606231,0.002350595,0.003042878,0.003633032,0.004112155,0.00450868,0.00478985,0.005283883,0.005939197,0.006696347,0.007245848,0.00766061,0.008546949,0.010018944,0.011518337,0.012258421,0.012458044,0.012622257,0.012970046,0.013264453,0.013340562,0.013308537,0.013430134,0.013669908,0.013977503,0.014302298,0.014828243,0.01578828,0.017130507,0.018586182,0.019829844,0.02088609,0.021766885,0.022596901,0.023254888,0.023615779,0.023783671,0.02403852,0.024509824,0.024685323,0.024313801,0.023466463,0.022619196,0.021831138,0.021327785,0.021018193,0.020894124,0.020847776,0.020954262,0.021081777,0.021238791,0.021388569,0.021455096,0.021403666,0.021338722,0.021365881,0.021424909,0.021480976,0.021542794,0.021429549,0.021055971,0.020613113,0.020181961,0.01966408,0.019091646,0.018597584,0.018046131,0.018082661,0.019006008,0.020486449,0.021893135,0.023500085,0.026307146,0.030423656,0.036005614,0.042774325,0.050592886,0.058904375,0.068577978,0.080103512,0.092406992,0.104197711,0.115307697,0.126377387,0.136767104,0.145993284,0.152841545,0.156856508,0.15832964,0.160291717,0.164292393,0.168101488,0.169419855,0.169755032,0.171465486,0.174497151,0.177320305,0.179090782,0.179928622,0.180551283,0.181450256,0.18282866,0.184731651,0.186534445,0.188321649,0.190459096,0.19285627,0.194663703,0.195889132,0.19683855,0.198101806,0.199832004,0.201609235,0.202896231,0.203868002,0.204660808,0.205135051,0.20545431,0.206086762,0.206820265,0.207511329,0.208337467,0.209068035,0.208843795,0.208438835,0.208900116,0.209723106,0.211075128,0.21287905,0.214361504,0.215665275,0.216074106,0.212169586,0.199995906,0.186439186,0.175925455,0.169692895,0.164610714,0.160756695,0.157044383,0.153635632
