New_Tree_ID,Original_Tree_ID,AGB,ave_a_390nm,ave_a_394nm,ave_a_398nm,ave_a_402nm,ave_a_406nm,ave_a_410nm,ave_a_414nm,ave_a_418nm,ave_a_422nm,ave_a_426nm,ave_a_430nm,ave_a_434nm,ave_a_438nm,ave_a_442nm,ave_a_446nm,ave_a_450nm,ave_a_454nm,ave_a_458nm,ave_a_462nm,ave_a_466nm,ave_a_470nm,ave_a_474nm,ave_a_478nm,ave_a_482nm,ave_a_486nm,ave_a_490nm,ave_a_494nm,ave_a_498nm,ave_a_502nm,ave_a_506nm,ave_a_510nm,ave_a_514nm,ave_a_518nm,ave_a_522nm,ave_a_526nm,ave_a_530nm,ave_a_534nm,ave_a_538nm,ave_a_542nm,ave_a_546nm,ave_a_550nm,ave_a_554nm,ave_a_558nm,ave_a_562nm,ave_a_566nm,ave_a_570nm,ave_a_574nm,ave_a_578nm,ave_a_582nm,ave_a_586nm,ave_a_590nm,ave_a_594nm,ave_a_598nm,ave_a_602nm,ave_a_606nm,ave_a_610nm,ave_a_614nm,ave_a_618nm,ave_a_622nm,ave_a_626nm,ave_a_630nm,ave_a_634nm,ave_a_638nm,ave_a_642nm,ave_a_646nm,ave_a_650nm,ave_a_654nm,ave_a_658nm,ave_a_662nm,ave_a_666nm,ave_a_670nm,ave_a_674nm,ave_a_678nm,ave_a_682nm,ave_a_686nm,ave_a_690nm,ave_a_694nm,ave_a_698nm,ave_a_702nm,ave_a_706nm,ave_a_710nm,ave_a_714nm,ave_a_718nm,ave_a_722nm,ave_a_726nm,ave_a_730nm,ave_a_734nm,ave_a_738nm,ave_a_742nm,ave_a_746nm,ave_a_750nm,ave_a_754nm,ave_a_758nm,ave_a_762nm,ave_a_766nm,ave_a_770nm,ave_a_774nm,ave_a_778nm,ave_a_782nm,ave_a_786nm,ave_a_790nm,ave_a_794nm,ave_a_798nm,ave_a_802nm,ave_a_806nm,ave_a_810nm,ave_a_814nm,ave_a_818nm,ave_a_822nm,ave_a_826nm,ave_a_830nm,ave_a_834nm,ave_a_838nm,ave_a_842nm,ave_a_846nm,ave_a_850nm,ave_a_854nm,ave_a_858nm,ave_a_862nm,ave_a_866nm,ave_a_870nm,ave_a_874nm,ave_a_878nm,ave_a_882nm,ave_a_886nm,ave_a_890nm,ave_a_894nm,ave_a_898nm,ave_a_902nm,ave_a_906nm,ave_a_910nm,ave_a_914nm,ave_a_918nm,ave_a_922nm,ave_a_926nm,ave_a_930nm,ave_a_934nm,ave_a_938nm,ave_a_942nm,ave_a_946nm,ave_a_950nm,ave_a_954nm,ave_a_958nm,ave_a_962nm
1,01_12,78.38676803,0.000226831,0.001160811,0.0024737,0.003713506,0.004777987,0.005694313,0.006492334,0.007226366,0.007823772,0.008268277,0.008890463,0.009656716,0.010449686,0.010958068,0.011526353,0.012806678,0.014802877,0.016596179,0.017455135,0.017744528,0.018013833,0.018522801,0.01888453,0.018966303,0.01886988,0.019017045,0.019289756,0.019691594,0.020224226,0.021040054,0.02217638,0.023614656,0.02510019,0.026500352,0.027820423,0.028990429,0.029980537,0.030753858,0.03133004,0.031805651,0.032312449,0.032980282,0.033360955,0.033240992,0.032616241,0.031929915,0.031279966,0.030778183,0.030345701,0.030065696,0.030089897,0.030343542,0.03058508,0.030788041,0.031018425,0.031149046,0.031184272,0.03120535,0.03126823,0.03130552,0.031380003,0.0314222,0.03138889,0.031230653,0.030995713,0.030564548,0.029928871,0.02931509,0.028803834,0.028307102,0.028579585,0.029847301,0.031735672,0.033430388,0.035509418,0.038859262,0.043544493,0.049761304,0.057167225,0.065715098,0.074729461,0.085466342,0.097380649,0.109584319,0.120761531,0.130981521,0.140449502,0.148753154,0.155739209,0.160878299,0.164486077,0.166650768,0.16964235,0.174701925,0.17810175,0.177834693,0.177013923,0.179052027,0.18259553,0.185532889,0.187684783,0.189193683,0.190543311,0.191880884,0.193645921,0.196425257,0.199626416,0.20230939,0.204636695,0.206927306,0.208648765,0.209393766,0.209713639,0.210428666,0.211775013,0.213467029,0.21508977,0.216568372,0.217792976,0.21842271,0.218647726,0.219361083,0.21999096,0.219939468,0.219741265,0.220069243,0.219402383,0.218769821,0.219741657,0.22201245,0.224927052,0.227728106,0.228687137,0.229369692,0.230012311,0.227704186,0.215565276,0.202369238,0.194065072,0.190978905,0.185686706,0.178267435,0.171427367,0.167236296
2,01_21,109.9667645,0.000168709,0.000869954,0.001890727,0.002885048,0.003761593,0.004500139,0.005096181,0.005584256,0.006006263,0.006360684,0.006890863,0.007640623,0.008477765,0.009025336,0.009546287,0.010733337,0.012572742,0.014210681,0.015022937,0.015280102,0.015541815,0.015946617,0.016299784,0.016393816,0.016418282,0.016643319,0.016996953,0.01737073,0.0177631,0.018403879,0.019456525,0.020850962,0.022333822,0.02372527,0.025001045,0.026113728,0.027138211,0.027898575,0.02815406,0.028239559,0.028589952,0.029395378,0.029785551,0.029453778,0.028484556,0.027597994,0.026785223,0.026276269,0.025992692,0.025928054,0.02594895,0.026044621,0.026113861,0.026153509,0.026174188,0.026172711,0.026181518,0.02627199,0.026393883,0.026526603,0.02658092,0.026514638,0.026248284,0.025875525,0.025460672,0.024980906,0.02432721,0.023657927,0.023094889,0.022478915,0.022574633,0.023604677,0.025308403,0.026866295,0.028802241,0.032051698,0.036503313,0.042465568,0.049643193,0.058053425,0.067042071,0.077933541,0.090146377,0.102621155,0.114159257,0.125114315,0.135642214,0.145213649,0.153513772,0.159736277,0.163836047,0.165940132,0.168819536,0.17379603,0.177253297,0.177381465,0.176973932,0.179014356,0.182143857,0.184667355,0.186241093,0.186955768,0.187683616,0.188903431,0.19121108,0.194363568,0.19721352,0.19930845,0.201491302,0.203900611,0.205568458,0.206393643,0.206851574,0.207653258,0.209064948,0.210709062,0.212027653,0.213004087,0.213656619,0.213862805,0.214017599,0.214975693,0.215687606,0.215553682,0.2151718,0.214931176,0.213500831,0.212470176,0.213834583,0.216654006,0.219662763,0.221621197,0.221333803,0.220957308,0.220930598,0.218902468,0.206747121,0.192387657,0.180642037,0.17565361,0.17059119,0.164995255,0.159167699,0.155045617
3,01_23,124.2417737,0.000360312,0.001133596,0.002270328,0.003537985,0.004836229,0.005933878,0.006669385,0.007283944,0.007845126,0.008443984,0.009035398,0.009556942,0.010046387,0.010592175,0.01113558,0.012222248,0.013935147,0.015732696,0.016719489,0.016977316,0.01709253,0.01734923,0.017651411,0.017823958,0.017952293,0.018151898,0.018383517,0.018624414,0.01902879,0.019682803,0.02095997,0.022766924,0.024830271,0.026562387,0.028001567,0.029249266,0.030466365,0.031497416,0.032016272,0.032189722,0.032437151,0.032955655,0.033142459,0.032582833,0.031473784,0.030319747,0.029313942,0.028513258,0.028031569,0.02767465,0.027467552,0.027356997,0.027355648,0.027298245,0.027259656,0.02713666,0.026881598,0.026568303,0.026402927,0.026427743,0.026447854,0.026399782,0.026169247,0.025755986,0.025218145,0.024516274,0.023620115,0.022623284,0.021850069,0.021105813,0.020995216,0.021719663,0.023044388,0.024734951,0.026859207,0.030649996,0.036160315,0.043537681,0.052195436,0.062042367,0.072495684,0.084226309,0.098615443,0.114071064,0.128441405,0.140902102,0.152963217,0.164609762,0.174737643,0.182485532,0.187308116,0.190298866,0.193036673,0.196831362,0.200036009,0.200885227,0.20031599,0.200879449,0.20338865,0.206392303,0.208402568,0.209374995,0.209982737,0.211395246,0.213830287,0.21656474,0.218707431,0.220394057,0.22212791,0.223890871,0.225203162,0.226042817,0.226658044,0.227740398,0.229527266,0.23127011,0.232348432,0.232889001,0.233458488,0.233949596,0.234544572,0.235103959,0.235624095,0.236229575,0.236989324,0.23740554,0.237729121,0.238713963,0.240632515,0.242575553,0.244845089,0.24698391,0.24842581,0.248824324,0.247987689,0.244164116,0.235819521,0.224603124,0.214274484,0.204208875,0.195857162,0.19040646,0.187710551,0.183728931
4,01_33,102.7364149,0.000329356,0.001305131,0.002554968,0.00359622,0.004438117,0.005234551,0.005931014,0.006645357,0.007225895,0.007823811,0.008491681,0.009132052,0.009737693,0.01023235,0.01083018,0.011952914,0.013776662,0.01552874,0.016494361,0.016685429,0.016834305,0.01714799,0.017486798,0.01764402,0.017753465,0.017930571,0.018148478,0.018372623,0.018713302,0.019318009,0.020454314,0.021940288,0.023558947,0.024895894,0.026023724,0.02699681,0.027965417,0.028735137,0.029167443,0.029408728,0.029665917,0.030033232,0.03012504,0.029712947,0.028858059,0.028068901,0.027484655,0.027068605,0.02669012,0.026420538,0.026309968,0.026336904,0.026449595,0.026593363,0.026753028,0.02682281,0.026825094,0.026800159,0.026808427,0.026821272,0.026880844,0.026974847,0.026903458,0.026571961,0.026168951,0.025700499,0.02511626,0.024458396,0.023945319,0.023449152,0.023476609,0.024379282,0.025910435,0.027608007,0.029494751,0.032664601,0.037276016,0.043474737,0.050847935,0.059252815,0.068339138,0.078751599,0.091425534,0.104959544,0.117562365,0.128697172,0.139529592,0.149829253,0.15862034,0.165105436,0.169278181,0.17227631,0.175607498,0.179576639,0.182529448,0.183135207,0.182791113,0.183721109,0.186471562,0.189506679,0.191631696,0.192955981,0.194097591,0.195706146,0.197958663,0.200652258,0.203327116,0.205932793,0.208604378,0.21102118,0.212590823,0.213364423,0.213906123,0.214981504,0.216602265,0.218167803,0.219327438,0.220212493,0.220978123,0.221520173,0.221885174,0.222164748,0.222571817,0.223335157,0.224227923,0.224724605,0.225073162,0.226197704,0.228183006,0.230024524,0.231755391,0.233376394,0.234768844,0.236356699,0.237293633,0.234445271,0.227103019,0.218097011,0.209842628,0.201657897,0.193737509,0.186171523,0.179719092,0.174550573
5,01_36,115.1925426,0.000433428,0.001540548,0.003062923,0.004326928,0.005529648,0.006544786,0.007507955,0.008390968,0.009041914,0.009490898,0.010026309,0.010682482,0.011366291,0.011911625,0.012497639,0.01374511,0.015752861,0.017610314,0.018413531,0.018512897,0.018654398,0.019027207,0.019393557,0.019610039,0.019732127,0.019920737,0.020150328,0.020431911,0.020793886,0.021462785,0.022610727,0.024160506,0.025827505,0.027357418,0.028735727,0.02991342,0.031008764,0.031820474,0.032167291,0.032323846,0.032780276,0.033623189,0.03406216,0.033797422,0.032912161,0.032029538,0.031142846,0.030527832,0.030183434,0.030105958,0.030135284,0.030247432,0.030441792,0.030648187,0.030806599,0.030798308,0.030680747,0.030659649,0.030766018,0.030984817,0.031127893,0.03120324,0.031043698,0.030732622,0.030332156,0.029875948,0.029322717,0.028715974,0.028157996,0.027500733,0.027710196,0.028917854,0.030824206,0.032591275,0.03469623,0.038103112,0.042921117,0.04935034,0.056984589,0.065798321,0.075327398,0.086612493,0.099527407,0.112752948,0.124876247,0.136049126,0.146897717,0.15691608,0.165485922,0.171822606,0.175885474,0.178383788,0.181530966,0.185997363,0.189191321,0.189658638,0.189609219,0.191326114,0.194552439,0.197459744,0.199256469,0.199833568,0.200345681,0.20161661,0.203930105,0.206930012,0.20987096,0.212205105,0.214404489,0.21656478,0.218172044,0.218889888,0.219149684,0.21987548,0.22148306,0.223539228,0.225294999,0.226728577,0.227752594,0.228335832,0.228811855,0.229712749,0.230411361,0.230831184,0.231091242,0.230946225,0.230010969,0.229998671,0.232066218,0.234874919,0.237356076,0.239315744,0.239883069,0.239681591,0.239276452,0.236387742,0.226210516,0.213771767,0.202983875,0.195516399,0.189338548,0.185110081,0.18126042,0.177635647
6,01_37,105.6228538,7.97E-05,0.000359564,0.000748256,0.001266859,0.001763096,0.002315639,0.002854217,0.003437433,0.003850637,0.004198982,0.004557104,0.004981441,0.005443652,0.005954358,0.006414506,0.007287438,0.008738739,0.010230268,0.010978696,0.011106129,0.011191982,0.011397521,0.011630264,0.011761418,0.011847667,0.01193481,0.012044111,0.012166012,0.012356314,0.012758394,0.013577874,0.01474424,0.015999291,0.017061561,0.01785862,0.018512357,0.019181267,0.019778818,0.020059659,0.020170065,0.020395537,0.02075984,0.020829184,0.020358749,0.019522433,0.018712773,0.01807374,0.017693304,0.017501351,0.01735416,0.017233031,0.017181399,0.017256006,0.017305061,0.017354986,0.017355885,0.017388958,0.01740652,0.017433051,0.017500333,0.017580051,0.017629495,0.017513326,0.017226309,0.016839437,0.016385591,0.015845276,0.015280186,0.014763594,0.014259979,0.014273149,0.015022794,0.016205618,0.017420362,0.018830538,0.021228314,0.024737936,0.029513869,0.035337583,0.042037521,0.049360398,0.057894453,0.068278084,0.079320644,0.08964557,0.099119311,0.108688819,0.117910385,0.125552658,0.131063397,0.134806544,0.137921666,0.141133066,0.144032933,0.145720148,0.146343228,0.146963348,0.148476465,0.150954849,0.153476135,0.155159601,0.156006495,0.156697169,0.157848084,0.159774423,0.162178899,0.164693643,0.167053393,0.169074792,0.170664667,0.171658633,0.17231167,0.172727336,0.174143413,0.176656026,0.178968592,0.180042824,0.18041437,0.18044134,0.180058096,0.179866807,0.180251082,0.180813503,0.181287641,0.181459067,0.180997883,0.18020121,0.180227414,0.181378151,0.183021274,0.184332185,0.186084782,0.18721383,0.187711261,0.186607245,0.183125074,0.176336849,0.167017963,0.156627114,0.145808153,0.13738592,0.131475443,0.126749118,0.121780653
7,01_40,101.2935124,0.000397482,0.001414443,0.002975497,0.004445807,0.005779136,0.006751378,0.007448646,0.00805016,0.008525764,0.008840102,0.009265816,0.009910892,0.010662759,0.011172882,0.01160862,0.012571919,0.014263523,0.015981163,0.016864298,0.017090364,0.017164345,0.017388255,0.017526695,0.017567249,0.017587552,0.017791597,0.018127722,0.018553307,0.018941428,0.019390337,0.020353972,0.021930632,0.023789099,0.025389405,0.026756153,0.02785742,0.028840996,0.029542608,0.029861039,0.029964791,0.030350224,0.03126419,0.031822548,0.031451863,0.030267509,0.02898465,0.027667409,0.026740025,0.026281581,0.026226582,0.026256175,0.026461872,0.026618655,0.026622183,0.026423757,0.026139068,0.025775794,0.025535257,0.025555998,0.0258725,0.026003541,0.025851973,0.025438964,0.025028287,0.024563561,0.024045387,0.02342032,0.022772713,0.022183133,0.021428419,0.021274661,0.022037078,0.0234959,0.025040054,0.026988859,0.030379592,0.035328577,0.041882848,0.049638994,0.058441544,0.068005433,0.079285691,0.092915375,0.107084748,0.120090985,0.131980587,0.144025587,0.155706289,0.166005388,0.174084909,0.17929625,0.1821162,0.184530868,0.188709924,0.192821124,0.193989425,0.19335493,0.194038521,0.196873631,0.199718626,0.201556052,0.2023914,0.203025954,0.204330502,0.206243505,0.208716232,0.211804378,0.214662933,0.21676529,0.218197104,0.219384668,0.219950319,0.220175264,0.221255663,0.223386253,0.225336685,0.226151869,0.226415753,0.226928683,0.227542915,0.228167817,0.228690319,0.229326127,0.229830969,0.230392096,0.231357277,0.232806442,0.234238796,0.235669813,0.237584267,0.239179456,0.240703857,0.241990761,0.243407366,0.244022923,0.242547878,0.237132928,0.228677309,0.219072358,0.209903734,0.202493438,0.197108859,0.191079465,0.183966024
8,01_41,122.4516333,9.91E-05,0.000502347,0.00124723,0.002161395,0.00315449,0.003954819,0.004581832,0.005098064,0.005583861,0.005911386,0.006423541,0.007138452,0.007934227,0.00851302,0.009087851,0.010127657,0.011784751,0.013402783,0.014249281,0.014450187,0.01460916,0.014901408,0.015133088,0.015171154,0.015166114,0.015297969,0.015565202,0.015918117,0.016319248,0.016933056,0.018151821,0.019923396,0.021879532,0.023595633,0.02513688,0.026425648,0.027562008,0.028325455,0.028649756,0.028742122,0.029090076,0.029834453,0.030253084,0.029901636,0.028841453,0.0276268,0.02637816,0.025475083,0.024911024,0.024625761,0.024456636,0.024515622,0.02459717,0.024651752,0.024542501,0.024337817,0.02393081,0.023641134,0.023566712,0.023759266,0.023858493,0.023879751,0.023613561,0.023120775,0.02246577,0.021842981,0.021149032,0.020407042,0.019707531,0.018834125,0.018646636,0.019385226,0.02089768,0.022491971,0.02462368,0.0282291,0.033316345,0.040123793,0.048348698,0.057726566,0.067760045,0.079604256,0.093698522,0.108440761,0.122293962,0.135166554,0.147938925,0.159869494,0.170291717,0.178285229,0.183522323,0.186467996,0.189235776,0.193586296,0.197271234,0.19802125,0.197592695,0.198846238,0.201932158,0.204636404,0.206399237,0.207143759,0.20781468,0.209108922,0.211226678,0.214032482,0.217401675,0.220222565,0.222454343,0.22422374,0.225615084,0.226029797,0.225993055,0.226938839,0.229091521,0.23119622,0.232252878,0.232784816,0.233289789,0.23352441,0.233812407,0.234383819,0.235254204,0.236104259,0.237290285,0.239047851,0.240698131,0.242122634,0.243904283,0.246339126,0.248413881,0.249999248,0.250602916,0.250876672,0.251202846,0.251293008,0.246491199,0.237534047,0.226488287,0.216862905,0.208896006,0.203308253,0.196922233,0.189050205
9,01_42,80.51530395,0.000167751,0.000718599,0.001670724,0.002781745,0.003942595,0.004796206,0.005350098,0.005753386,0.006146942,0.006488092,0.006987911,0.007680717,0.00842146,0.008889963,0.00929824,0.010269545,0.011867794,0.013404643,0.014208282,0.014464807,0.014679646,0.015011873,0.015275118,0.01533501,0.015423947,0.01566928,0.016123157,0.016558137,0.016916137,0.017363283,0.018353429,0.019900326,0.021610738,0.023187539,0.024591261,0.02577838,0.026766247,0.027476864,0.027871628,0.028038346,0.028458526,0.029192124,0.029622023,0.029288322,0.028336656,0.027283897,0.026219627,0.025449522,0.024997338,0.024875367,0.024844007,0.024940331,0.025105337,0.025230789,0.025231706,0.025122376,0.024968609,0.024874464,0.024926248,0.025202095,0.025358224,0.02530996,0.02492466,0.024425912,0.023895346,0.023382143,0.022837219,0.022335358,0.021871326,0.021232583,0.021285156,0.022306958,0.023916094,0.025476517,0.027553107,0.030965694,0.03576195,0.04201906,0.049507929,0.0580019,0.067280195,0.078371348,0.091670201,0.105338789,0.117826993,0.129107405,0.140271741,0.150805448,0.159960413,0.167051373,0.171940993,0.175402831,0.178578987,0.182459918,0.185464151,0.186039716,0.185633252,0.18676183,0.189865496,0.192952034,0.195041514,0.196149018,0.196984732,0.198374216,0.200133214,0.202537408,0.205751031,0.208861277,0.211084858,0.212622883,0.213948073,0.214593213,0.214895709,0.216054387,0.218193775,0.220221523,0.221397441,0.222198638,0.222776115,0.223056729,0.22353992,0.224727653,0.225803824,0.225908381,0.225461882,0.225726208,0.226477159,0.227741073,0.229487435,0.231779806,0.233074783,0.233604781,0.233847905,0.233893993,0.233630419,0.23147145,0.226000679,0.217881478,0.209378172,0.20122935,0.193409214,0.186768732,0.180191558,0.173630642
10,01_43,68.26173975,7.43E-05,0.000492042,0.001093557,0.001927284,0.002848714,0.003694906,0.004259522,0.004694328,0.005133244,0.005530211,0.006006222,0.006503145,0.007080309,0.007588499,0.007926069,0.008801274,0.010361451,0.012030642,0.012848535,0.013044615,0.013190861,0.013528664,0.013881889,0.013965018,0.013905696,0.013972992,0.014204134,0.014516632,0.014877587,0.01545182,0.016479591,0.017921937,0.019494882,0.020832995,0.021925679,0.022879603,0.02382008,0.024633413,0.025139017,0.025448997,0.025716643,0.026058775,0.026076633,0.025559745,0.024628712,0.023816568,0.023254621,0.022877942,0.022526027,0.022219225,0.02203508,0.021940165,0.021976429,0.022124887,0.022351892,0.022428982,0.022343085,0.022175801,0.022110882,0.022121887,0.02217404,0.022329313,0.022343217,0.022022905,0.021558309,0.021053394,0.020396197,0.019681232,0.01913967,0.018602062,0.018581402,0.019467995,0.020929583,0.022515929,0.02429573,0.027308404,0.03163984,0.037434827,0.04437988,0.05232508,0.06080152,0.070388714,0.081918948,0.094120593,0.105434949,0.115305537,0.124849595,0.133893207,0.141689404,0.14747715,0.151373222,0.154201498,0.157049455,0.160422803,0.162871406,0.163125938,0.162555073,0.163424064,0.166093242,0.169021592,0.171147095,0.172527382,0.173711065,0.17551756,0.17801867,0.180856186,0.18355527,0.186037633,0.188278873,0.190225064,0.191621272,0.19250128,0.193017666,0.194129977,0.196107382,0.198161119,0.199455422,0.200172149,0.200573158,0.200547594,0.200449046,0.200453709,0.20073226,0.201497828,0.202772101,0.203669953,0.203970773,0.204445355,0.205711447,0.206862251,0.208947122,0.211585348,0.21385119,0.214990355,0.215659671,0.214016039,0.207451427,0.197796194,0.188138747,0.179345232,0.171486614,0.164796516,0.159447069,0.153935768
