New_Tree_ID,Original_Tree_ID,AGB,ave_b_390nm,ave_b_394nm,ave_b_398nm,ave_b_402nm,ave_b_406nm,ave_b_410nm,ave_b_414nm,ave_b_418nm,ave_b_422nm,ave_b_426nm,ave_b_430nm,ave_b_434nm,ave_b_438nm,ave_b_442nm,ave_b_446nm,ave_b_450nm,ave_b_454nm,ave_b_458nm,ave_b_462nm,ave_b_466nm,ave_b_470nm,ave_b_474nm,ave_b_478nm,ave_b_482nm,ave_b_486nm,ave_b_490nm,ave_b_494nm,ave_b_498nm,ave_b_502nm,ave_b_506nm,ave_b_510nm,ave_b_514nm,ave_b_518nm,ave_b_522nm,ave_b_526nm,ave_b_530nm,ave_b_534nm,ave_b_538nm,ave_b_542nm,ave_b_546nm,ave_b_550nm,ave_b_554nm,ave_b_558nm,ave_b_562nm,ave_b_566nm,ave_b_570nm,ave_b_574nm,ave_b_578nm,ave_b_582nm,ave_b_586nm,ave_b_590nm,ave_b_594nm,ave_b_598nm,ave_b_602nm,ave_b_606nm,ave_b_610nm,ave_b_614nm,ave_b_618nm,ave_b_622nm,ave_b_626nm,ave_b_630nm,ave_b_634nm,ave_b_638nm,ave_b_642nm,ave_b_646nm,ave_b_650nm,ave_b_654nm,ave_b_658nm,ave_b_662nm,ave_b_666nm,ave_b_670nm,ave_b_674nm,ave_b_678nm,ave_b_682nm,ave_b_686nm,ave_b_690nm,ave_b_694nm,ave_b_698nm,ave_b_702nm,ave_b_706nm,ave_b_710nm,ave_b_714nm,ave_b_718nm,ave_b_722nm,ave_b_726nm,ave_b_730nm,ave_b_734nm,ave_b_738nm,ave_b_742nm,ave_b_746nm,ave_b_750nm,ave_b_754nm,ave_b_758nm,ave_b_762nm,ave_b_766nm,ave_b_770nm,ave_b_774nm,ave_b_778nm,ave_b_782nm,ave_b_786nm,ave_b_790nm,ave_b_794nm,ave_b_798nm,ave_b_802nm,ave_b_806nm,ave_b_810nm,ave_b_814nm,ave_b_818nm,ave_b_822nm,ave_b_826nm,ave_b_830nm,ave_b_834nm,ave_b_838nm,ave_b_842nm,ave_b_846nm,ave_b_850nm,ave_b_854nm,ave_b_858nm,ave_b_862nm,ave_b_866nm,ave_b_870nm,ave_b_874nm,ave_b_878nm,ave_b_882nm,ave_b_886nm,ave_b_890nm,ave_b_894nm,ave_b_898nm,ave_b_902nm,ave_b_906nm,ave_b_910nm,ave_b_914nm,ave_b_918nm,ave_b_922nm,ave_b_926nm,ave_b_930nm,ave_b_934nm,ave_b_938nm,ave_b_942nm,ave_b_946nm,ave_b_950nm,ave_b_954nm,ave_b_958nm,ave_b_962nm
1,01_12,78.38676803,0.000114559,0.000414744,0.001058819,0.001995741,0.00297365,0.003758426,0.00436808,0.004947819,0.005448193,0.005803787,0.006298859,0.007041155,0.007896861,0.008455807,0.00894004,0.009880218,0.011457081,0.012993405,0.013868647,0.014138558,0.014286055,0.014444977,0.01461112,0.014744113,0.014893754,0.01513034,0.015525872,0.015986694,0.0162404,0.016441065,0.017191041,0.018568847,0.020160645,0.021524568,0.022732745,0.023626243,0.024265998,0.024708799,0.025004919,0.025228767,0.025611873,0.026227668,0.026618901,0.026488175,0.025883801,0.025033181,0.02400733,0.02322488,0.022881393,0.022883492,0.023036682,0.023387964,0.023783941,0.024087676,0.02431133,0.02435862,0.024241047,0.024133202,0.024206603,0.024496259,0.024660285,0.024617003,0.024292632,0.023942826,0.023519478,0.023198599,0.02290428,0.022564931,0.022071836,0.021326429,0.021251942,0.022278211,0.024023352,0.025610885,0.027280949,0.030157916,0.034361628,0.040170196,0.047385875,0.055906697,0.064725164,0.074681234,0.086912812,0.100599624,0.113867918,0.126320637,0.138696851,0.150497009,0.160667034,0.168330145,0.17226853,0.172620547,0.172805206,0.176316625,0.181698061,0.185328203,0.187033877,0.188706191,0.19127418,0.193772663,0.195439922,0.196113931,0.196411983,0.196669163,0.196685699,0.196864474,0.197631582,0.199056095,0.201093487,0.203620515,0.20586668,0.20737522,0.208585128,0.210079509,0.211828531,0.213410238,0.214629671,0.215667367,0.217093315,0.218745756,0.22031638,0.221545855,0.222593204,0.223247344,0.223379633,0.22252129,0.220144347,0.218272043,0.217963456,0.218851644,0.218717035,0.219017342,0.218931978,0.217333086,0.213231633,0.205705072,0.191489061,0.175617437,0.162192078,0.152613205,0.149253661,0.15409394,0.16018773,0.162534971
2,01_21,109.9667645,9.49E-06,8.56E-05,0.000365751,0.000877405,0.001442663,0.001930282,0.002395716,0.002835303,0.003238571,0.003592379,0.004037759,0.004510542,0.005042623,0.005515271,0.006040892,0.006939013,0.00830373,0.009628953,0.010388967,0.010611552,0.01074337,0.01102222,0.011333873,0.011461072,0.011522668,0.011716117,0.012060112,0.012430819,0.012716843,0.012950538,0.01363381,0.014823211,0.016233797,0.017452236,0.018512385,0.01928857,0.019835895,0.020214925,0.020482238,0.020699133,0.020976331,0.021412383,0.021642959,0.021390305,0.020644552,0.019806183,0.018938224,0.0183397,0.018051671,0.018011144,0.018008359,0.018129343,0.01832766,0.018524771,0.018683552,0.018738704,0.018711623,0.018680257,0.018673568,0.01874682,0.018796868,0.018834912,0.018636693,0.018227269,0.017698218,0.017204259,0.016660957,0.016123862,0.015612611,0.014989139,0.014940438,0.015869555,0.017363831,0.018784876,0.020319702,0.022963753,0.026841602,0.032227718,0.03885526,0.046534541,0.054668216,0.064011264,0.075707044,0.088886153,0.102020464,0.114671214,0.127433701,0.139661573,0.150273082,0.158404949,0.162881891,0.163997076,0.164834588,0.168594773,0.173778649,0.177144945,0.178648009,0.180351592,0.18308011,0.185782624,0.187507996,0.188164764,0.18840285,0.188661121,0.188725053,0.18888314,0.189362164,0.190469721,0.192554767,0.195454386,0.197869378,0.19921738,0.200112817,0.201458091,0.203350964,0.20499543,0.206079459,0.206798935,0.207959615,0.209225236,0.210302052,0.2111016,0.211616195,0.211693222,0.211181123,0.209694145,0.206486011,0.203818016,0.203023489,0.203663201,0.203924062,0.205240408,0.205740204,0.20397082,0.199536822,0.191931944,0.177030081,0.159662112,0.144865644,0.134263829,0.128291617,0.128656558,0.131604131,0.134300939
3,01_23,124.2417737,3.87E-06,5.40E-05,0.000187913,0.000451952,0.000750006,0.001012825,0.001316217,0.001577768,0.001835649,0.002019367,0.002321031,0.002708226,0.003209779,0.003570674,0.003934823,0.004800804,0.006264771,0.007584428,0.008203826,0.008299064,0.008446935,0.008741681,0.009008186,0.00907888,0.009051897,0.009097127,0.009196893,0.009365765,0.009541718,0.009889241,0.010630294,0.011772138,0.012943834,0.013798401,0.014457381,0.015069073,0.015790598,0.01631911,0.016462979,0.016361551,0.016479337,0.016933186,0.017113859,0.016714048,0.015855403,0.015046337,0.014267857,0.013738284,0.013456652,0.013401901,0.013361211,0.013323209,0.01331951,0.013419313,0.013545829,0.013601978,0.013578324,0.013524712,0.013486179,0.013525484,0.013504668,0.013380767,0.013105134,0.012706288,0.012201222,0.011688939,0.011125891,0.010576382,0.01011469,0.009620323,0.009733154,0.010596181,0.011933603,0.012980342,0.014273234,0.016444115,0.019494903,0.023753679,0.029253656,0.035764253,0.042533437,0.050425032,0.059803351,0.070253399,0.080987561,0.091853811,0.102760813,0.112706155,0.121318242,0.127583175,0.130993829,0.131761552,0.133271098,0.137073864,0.140875032,0.142880369,0.144410749,0.146843821,0.149651144,0.15197047,0.153584389,0.154572069,0.155233552,0.155483252,0.155854044,0.156759038,0.157333557,0.157852787,0.159548742,0.162392005,0.164694947,0.166116968,0.167232246,0.168269548,0.169459418,0.170798509,0.172190366,0.17326284,0.173973324,0.174223466,0.174418447,0.175228165,0.175576978,0.17495294,0.173779597,0.171997464,0.168563606,0.16595067,0.166003418,0.167435149,0.168936269,0.17004012,0.169008688,0.166628619,0.164273068,0.15866802,0.143553188,0.126262468,0.112467128,0.10594694,0.101397937,0.098583953,0.096586141,0.098442664
4,01_33,102.7364149,3.04E-05,0.000224244,0.000624406,0.001112592,0.00159352,0.002154014,0.002844979,0.003533597,0.004100569,0.004610733,0.005168159,0.005772941,0.006418935,0.007002841,0.007635667,0.008758752,0.0104391,0.012012149,0.012823779,0.013027832,0.013207903,0.013541771,0.013821929,0.013990442,0.014141832,0.014340056,0.014522332,0.014768778,0.015161936,0.015721349,0.016655683,0.017930866,0.019370258,0.020555462,0.021526267,0.022373136,0.023191767,0.023830662,0.024189183,0.024355947,0.024517833,0.024810164,0.024865895,0.024516618,0.023801622,0.023076144,0.022341348,0.021809184,0.021507608,0.021404865,0.021345581,0.021330283,0.021459164,0.021708053,0.02194917,0.022008004,0.021943949,0.021888547,0.021870235,0.021945328,0.021957336,0.02191336,0.021652249,0.021247966,0.020783937,0.020290478,0.019713035,0.019094044,0.018542396,0.017884878,0.017932944,0.018955868,0.0205803,0.022050072,0.023702865,0.026481107,0.030517717,0.03612913,0.043182704,0.051442201,0.060222542,0.070387361,0.083014417,0.097228237,0.111467628,0.125159261,0.138791503,0.151693655,0.163246781,0.172302566,0.177401514,0.178663648,0.180001765,0.184654021,0.190414493,0.193696053,0.19507043,0.196926222,0.199853275,0.202615191,0.20456833,0.205661854,0.206399324,0.206862689,0.206856614,0.207206092,0.208190831,0.209700428,0.211851528,0.214764212,0.217258123,0.218827863,0.219924079,0.221183921,0.222613934,0.224023183,0.225238424,0.226402332,0.227877744,0.229139417,0.229905403,0.230283688,0.230467878,0.230235423,0.229748482,0.228694928,0.225911135,0.223253678,0.222339836,0.222846848,0.223493277,0.225226343,0.22582603,0.224012838,0.220377153,0.212470913,0.193991419,0.173977467,0.159864809,0.152019463,0.14733019,0.147602603,0.150019376,0.152943097
5,01_36,115.1925426,7.72E-05,0.000280018,0.000677414,0.001264832,0.001926981,0.002404146,0.002711451,0.0029455,0.003247447,0.003538613,0.003970307,0.004501281,0.005057577,0.005420097,0.005707482,0.006414761,0.007643735,0.008932855,0.009619767,0.009759756,0.009794654,0.010019913,0.010244235,0.010334063,0.010329408,0.010408181,0.010584275,0.01082862,0.010995465,0.011177689,0.011705373,0.012642622,0.013686841,0.014619757,0.015447576,0.016138368,0.016661756,0.017068644,0.017360604,0.017553598,0.0177,0.017942014,0.017997056,0.017556914,0.016688292,0.015922921,0.015342612,0.015002529,0.01480236,0.014782573,0.014799786,0.014951077,0.015145049,0.015347458,0.015475388,0.015549372,0.015559217,0.015603483,0.015717407,0.015935098,0.016088436,0.016164501,0.016029816,0.015684553,0.015234402,0.014859013,0.014535038,0.014203706,0.013796579,0.013176514,0.01314464,0.013993997,0.015364529,0.016540903,0.017825011,0.019910744,0.022885289,0.027075111,0.0324332,0.038744234,0.045417302,0.053123644,0.062726218,0.073433439,0.084123975,0.094778437,0.105938046,0.116503489,0.125403539,0.131973455,0.135617317,0.13638443,0.136955995,0.140076202,0.144362508,0.147004997,0.148276587,0.150039725,0.152707148,0.155135716,0.156763051,0.157585566,0.158103402,0.158359564,0.158213155,0.158097377,0.158214564,0.158709542,0.160150719,0.162514272,0.164755944,0.166299387,0.167696194,0.169371244,0.171358113,0.173089562,0.174497889,0.175605357,0.176741739,0.177624749,0.17835135,0.179177919,0.179731221,0.179731888,0.179308111,0.178393617,0.175921081,0.173427809,0.172335594,0.172326074,0.172370911,0.173601741,0.174462424,0.173467007,0.170798707,0.165155731,0.152367652,0.136792752,0.123150634,0.114195895,0.10940728,0.108831582,0.109302285,0.111137555
6,01_37,105.6228538,7.94E-05,0.000457942,0.001148146,0.001957597,0.002731446,0.00348063,0.004209023,0.004893436,0.005458376,0.005942972,0.00651531,0.007160303,0.007885352,0.008501541,0.009204284,0.010320952,0.012032906,0.013625969,0.01448249,0.014669485,0.014803756,0.015142144,0.015510459,0.015733251,0.015797748,0.015942101,0.01615943,0.016487029,0.016858153,0.017428493,0.018422275,0.019798271,0.021289694,0.022546884,0.023674298,0.024607314,0.025489486,0.026119066,0.026417034,0.026459497,0.026627067,0.027080558,0.027312217,0.027006662,0.026212345,0.025300554,0.02436389,0.023691858,0.023368448,0.023293005,0.023320878,0.023446077,0.023667229,0.023879039,0.024039258,0.024024909,0.023923796,0.023849804,0.023855255,0.023950725,0.02401949,0.024025797,0.023809833,0.023428717,0.022907338,0.022344133,0.021691121,0.021031534,0.020440975,0.019727368,0.019685818,0.020667917,0.022394634,0.023886078,0.025478789,0.028363357,0.032744331,0.038867042,0.046534998,0.055526096,0.065090361,0.076227621,0.090206889,0.106046135,0.121975415,0.137470727,0.153033487,0.167822426,0.181022653,0.191436743,0.197140853,0.198231196,0.199469409,0.204933533,0.211992777,0.216001075,0.217334199,0.218993777,0.22205864,0.225055238,0.226897104,0.227454103,0.227512838,0.227466633,0.227153035,0.226994282,0.227007317,0.227637755,0.229607642,0.232812759,0.235619564,0.237361626,0.238682944,0.240052088,0.24159602,0.243027039,0.244261742,0.245343147,0.246805772,0.248321988,0.249569891,0.250385127,0.250892275,0.250920857,0.250587738,0.249700128,0.247592446,0.245783234,0.245288148,0.246047155,0.246044558,0.246608011,0.246543089,0.245307136,0.241646865,0.232838234,0.214976666,0.196930934,0.184881275,0.178215788,0.175741536,0.179407778,0.183888723,0.185348163
7,01_40,101.2935124,0.000126551,0.000517044,0.001150567,0.001761789,0.002348577,0.002887917,0.003494152,0.004058538,0.004579608,0.004983687,0.005476246,0.005997497,0.006583918,0.007100474,0.007717635,0.008621567,0.009913515,0.011109344,0.01175946,0.011870044,0.011981569,0.01223936,0.012469305,0.012483793,0.012467433,0.012545725,0.012707584,0.012870209,0.013109387,0.01360012,0.014547223,0.015825398,0.017166639,0.018267294,0.019190139,0.019865473,0.020465001,0.020942163,0.021380913,0.021668901,0.02182163,0.021913851,0.021760138,0.021254014,0.020423326,0.019669116,0.019052745,0.01862066,0.0182621,0.018030894,0.017910198,0.017832888,0.017848795,0.018008756,0.01820339,0.018170568,0.017986705,0.01781608,0.017686788,0.017581496,0.017557558,0.01764765,0.0175448,0.017150671,0.016634965,0.016106242,0.015414588,0.014712656,0.014080197,0.013436998,0.013428931,0.014302952,0.01567603,0.016836168,0.018159599,0.020637171,0.02439399,0.029725591,0.036406457,0.044287747,0.052603004,0.062125494,0.0740336,0.087996062,0.102744303,0.117616755,0.132694125,0.146930101,0.159791366,0.169556313,0.174712056,0.175637019,0.177371756,0.182423789,0.188048018,0.190840773,0.192119664,0.194257259,0.197523022,0.200344499,0.201865578,0.202077592,0.201740031,0.201143158,0.200396669,0.199941623,0.199284195,0.199278606,0.201127171,0.204506584,0.20722897,0.20863596,0.209614629,0.210868976,0.212414158,0.213973096,0.21553484,0.217119989,0.218426931,0.219179489,0.219542367,0.219692833,0.220141079,0.220999545,0.222240381,0.222968418,0.222573032,0.221521102,0.220426446,0.219209137,0.218361061,0.21892309,0.22044572,0.222757816,0.22312356,0.215571838,0.197242331,0.17961599,0.168894838,0.164232058,0.159665644,0.155758731,0.151865443,0.151166649
8,01_41,122.4516333,-1.06E-05,2.66E-05,0.000117011,0.00036429,0.000629474,0.000845782,0.001041569,0.001310072,0.001654489,0.001999461,0.002410332,0.002833142,0.003229768,0.003627462,0.003941452,0.004613177,0.005642472,0.006752888,0.007355065,0.007582942,0.007673936,0.007841653,0.007998573,0.00807037,0.008039925,0.008089999,0.008189693,0.008354921,0.008585771,0.00895011,0.009672996,0.010690205,0.011851533,0.012845846,0.013662377,0.014255707,0.0147921,0.01523693,0.015552688,0.015768062,0.01595794,0.016137585,0.016052204,0.015590133,0.014753035,0.013899511,0.013116244,0.012594547,0.012286521,0.0121803,0.0121258,0.012138254,0.01217977,0.012304597,0.01238743,0.012393212,0.012389964,0.01240613,0.012358423,0.012279054,0.012266564,0.012353709,0.012318003,0.012061232,0.011627031,0.011164369,0.010533964,0.009876698,0.009345933,0.008909023,0.008871486,0.009450677,0.010444191,0.011589968,0.012914934,0.015172324,0.018378072,0.022919241,0.028679094,0.035528591,0.042780656,0.05094669,0.06131923,0.073468645,0.086024897,0.098307504,0.110783819,0.122794692,0.133468934,0.141616182,0.145964469,0.146849845,0.147873233,0.15162472,0.156412038,0.159033852,0.159924506,0.161226776,0.163879959,0.166586368,0.168249493,0.168775717,0.16885199,0.16882578,0.168552617,0.168263268,0.168034908,0.16865617,0.170692569,0.173727443,0.176209603,0.177826721,0.179053485,0.180508723,0.182251015,0.183793192,0.184976232,0.185958072,0.187033993,0.18800188,0.188741161,0.18927352,0.18960109,0.189616887,0.189144653,0.188430035,0.187665591,0.187121764,0.186850253,0.186737577,0.186362537,0.186746511,0.187663192,0.188981968,0.18834876,0.182774047,0.171074372,0.157961157,0.147352824,0.138239325,0.130990892,0.125927457,0.122760288,0.120408932
9,01_42,80.51530395,8.56E-06,0.000103511,0.000277478,0.000602706,0.000892243,0.001204196,0.001491889,0.001829941,0.002102037,0.002386187,0.002703307,0.003056241,0.003384525,0.003651252,0.003867441,0.004429503,0.005436771,0.006448118,0.00698632,0.007116595,0.007191502,0.007388041,0.00761191,0.007712512,0.007627192,0.007632869,0.007763288,0.007964027,0.008114483,0.008392857,0.009010391,0.00993726,0.010924827,0.011770649,0.012485957,0.013080314,0.013560829,0.013918221,0.014250595,0.014547017,0.014712217,0.014755458,0.014611032,0.014253532,0.01362828,0.012992206,0.012393878,0.011989784,0.011655187,0.011437558,0.011313604,0.011319309,0.011332109,0.011409798,0.01150011,0.011553677,0.011536669,0.011549562,0.011538282,0.011529252,0.011471076,0.011410337,0.011176794,0.010871345,0.010493661,0.010129121,0.00962164,0.009141244,0.008678524,0.008194036,0.008186437,0.008814676,0.009800195,0.010737994,0.011871577,0.013778919,0.016536259,0.020547089,0.025754183,0.031974239,0.038540871,0.046024858,0.055276715,0.066014317,0.077187998,0.088588809,0.100479492,0.111889757,0.121804226,0.129142648,0.13307618,0.133864204,0.135282432,0.139830269,0.144741397,0.146618214,0.146772533,0.148195589,0.151058038,0.153753428,0.155380728,0.156041882,0.156357736,0.156350126,0.156033237,0.155774298,0.15519786,0.155113659,0.15661315,0.159476033,0.161698637,0.162984362,0.163988221,0.165096747,0.166317745,0.167595355,0.169026527,0.170365966,0.171118429,0.171186046,0.171068638,0.171193223,0.171348952,0.171430778,0.171288364,0.170622203,0.169333791,0.168068804,0.16735052,0.166557272,0.166382166,0.167607122,0.169231507,0.170750412,0.171005219,0.166456009,0.152196602,0.137316455,0.126990181,0.122129534,0.116896325,0.11192915,0.106851094,0.103804498
10,01_43,68.26173975,3.08E-05,0.000255251,0.000699268,0.001285179,0.001852477,0.00239085,0.003006541,0.003529983,0.003884116,0.004049489,0.004561544,0.00537525,0.006312386,0.006903197,0.007395152,0.008292624,0.009676437,0.011006031,0.011668308,0.011871473,0.012053653,0.012411428,0.012647016,0.012716106,0.012711378,0.012887277,0.013135682,0.013438373,0.013727009,0.014204666,0.015096969,0.016339078,0.017677481,0.018826694,0.019846502,0.020654166,0.021373723,0.021876363,0.022092541,0.022118346,0.022360396,0.022960873,0.023294013,0.023067857,0.022304214,0.021421824,0.020407654,0.019777628,0.019510359,0.019569023,0.019660471,0.019968359,0.020187125,0.020352696,0.020425246,0.02048121,0.020464247,0.020501642,0.020620881,0.020727931,0.020787912,0.020756275,0.020515882,0.020089036,0.019667916,0.019310529,0.018931964,0.01850206,0.018055499,0.017490199,0.01758392,0.018544021,0.020043314,0.021270342,0.022704439,0.025305888,0.029207472,0.034576401,0.041168769,0.048860692,0.057007231,0.066767242,0.078288076,0.090693391,0.102960473,0.115309858,0.127905179,0.139641002,0.150297164,0.15820594,0.162339794,0.162457782,0.163533979,0.168161983,0.173331569,0.175713771,0.17695499,0.179506909,0.182901059,0.185619017,0.187034469,0.187329862,0.187391501,0.187382953,0.18763865,0.188607116,0.189513621,0.190605665,0.192639319,0.195487476,0.197706135,0.199276984,0.200659435,0.202073634,0.203556625,0.205057352,0.20633704,0.207563854,0.208748458,0.209722509,0.210459573,0.211719814,0.212908271,0.213524831,0.213902833,0.214466117,0.213716817,0.212432315,0.212088786,0.212583961,0.213203134,0.214172752,0.214871819,0.216340195,0.216488541,0.210323132,0.192540385,0.175082178,0.163712163,0.160040558,0.157734815,0.156716873,0.154641697,0.153335495
