New_Tree_ID,Original_Tree_ID,AGB,sun_390nm,sun_394nm,sun_398nm,sun_402nm,sun_406nm,sun_410nm,sun_414nm,sun_418nm,sun_422nm,sun_426nm,sun_430nm,sun_434nm,sun_438nm,sun_442nm,sun_446nm,sun_450nm,sun_454nm,sun_458nm,sun_462nm,sun_466nm,sun_470nm,sun_474nm,sun_478nm,sun_482nm,sun_486nm,sun_490nm,sun_494nm,sun_498nm,sun_502nm,sun_506nm,sun_510nm,sun_514nm,sun_518nm,sun_522nm,sun_526nm,sun_530nm,sun_534nm,sun_538nm,sun_542nm,sun_546nm,sun_550nm,sun_554nm,sun_558nm,sun_562nm,sun_566nm,sun_570nm,sun_574nm,sun_578nm,sun_582nm,sun_586nm,sun_590nm,sun_594nm,sun_598nm,sun_602nm,sun_606nm,sun_610nm,sun_614nm,sun_618nm,sun_622nm,sun_626nm,sun_630nm,sun_634nm,sun_638nm,sun_642nm,sun_646nm,sun_650nm,sun_654nm,sun_658nm,sun_662nm,sun_666nm,sun_670nm,sun_674nm,sun_678nm,sun_682nm,sun_686nm,sun_690nm,sun_694nm,sun_698nm,sun_702nm,sun_706nm,sun_710nm,sun_714nm,sun_718nm,sun_722nm,sun_726nm,sun_730nm,sun_734nm,sun_738nm,sun_742nm,sun_746nm,sun_750nm,sun_754nm,sun_758nm,sun_762nm,sun_766nm,sun_770nm,sun_774nm,sun_778nm,sun_782nm,sun_786nm,sun_790nm,sun_794nm,sun_798nm,sun_802nm,sun_806nm,sun_810nm,sun_814nm,sun_818nm,sun_822nm,sun_826nm,sun_830nm,sun_834nm,sun_838nm,sun_842nm,sun_846nm,sun_850nm,sun_854nm,sun_858nm,sun_862nm,sun_866nm,sun_870nm,sun_874nm,sun_878nm,sun_882nm,sun_886nm,sun_890nm,sun_894nm,sun_898nm,sun_902nm,sun_906nm,sun_910nm,sun_914nm,sun_918nm,sun_922nm,sun_926nm,sun_930nm,sun_934nm,sun_938nm,sun_942nm,sun_946nm,sun_950nm,sun_954nm,sun_958nm,sun_962nm
1,01_12,78.38676803,0.000217802,0.000958098,0.002133757,0.003421514,0.004638934,0.005655513,0.006483407,0.007243828,0.00787764,0.008349645,0.008984864,0.009822912,0.010729635,0.011318794,0.011902292,0.013074041,0.014932497,0.016660971,0.017571271,0.017876582,0.018101614,0.01845201,0.01873116,0.018858299,0.018912159,0.019133288,0.019498503,0.019967134,0.020410275,0.020985282,0.022049526,0.023636519,0.025381817,0.026949939,0.028383562,0.02954728,0.030464832,0.031163654,0.031691495,0.03212983,0.032658075,0.033392703,0.033848847,0.033757129,0.033106134,0.032248266,0.031277716,0.03052765,0.030062178,0.029882079,0.029945901,0.03024896,0.030569534,0.030826772,0.031052909,0.031120674,0.03104047,0.030962235,0.030997357,0.031127467,0.031224689,0.031216887,0.031050845,0.030828799,0.030531172,0.030146478,0.029635503,0.029102811,0.02854793,0.027865423,0.02795306,0.029164302,0.031111003,0.032892394,0.034951868,0.038401742,0.04334053,0.050029529,0.058164143,0.067675106,0.077588813,0.089027642,0.102421602,0.116940671,0.130775501,0.143588732,0.155850772,0.167213934,0.177170713,0.184809411,0.189203507,0.190343061,0.191906793,0.196977189,0.202406657,0.204496832,0.204825128,0.206614647,0.209760768,0.212536414,0.214386135,0.215296859,0.215858099,0.216301555,0.216720075,0.21778468,0.219426643,0.221337505,0.22364731,0.226400017,0.228554042,0.229603935,0.230185875,0.231148512,0.232614731,0.23425604,0.235733211,0.237098857,0.238676954,0.240154899,0.241298034,0.242345927,0.243291333,0.243829783,0.244077465,0.243940817,0.242309569,0.240917481,0.241254826,0.242962835,0.244253918,0.245292747,0.245243058,0.244739673,0.243076349,0.237565051,0.222622686,0.206992134,0.196321406,0.191171552,0.188147413,0.188756343,0.189654806,0.188757538
2,01_21,109.9667645,0.000122535,0.000645465,0.001534108,0.002569652,0.003582239,0.004453202,0.005208267,0.00587185,0.006454009,0.006949363,0.007609156,0.008411532,0.009293434,0.009943131,0.010604767,0.01180336,0.013594559,0.015247216,0.016160715,0.016481523,0.016719974,0.017075462,0.01742455,0.017589742,0.017721603,0.018013894,0.01841644,0.018852201,0.019311682,0.019950356,0.021103456,0.022746632,0.024564928,0.026216924,0.027712177,0.028928214,0.029939982,0.030674751,0.03105978,0.031304286,0.031731591,0.032483966,0.032895676,0.032657325,0.031747467,0.030712212,0.029589014,0.028799245,0.028351215,0.028224224,0.028218253,0.028384617,0.028550861,0.028640913,0.028655224,0.028595312,0.028488619,0.028444122,0.0284473,0.028508435,0.028503573,0.028433333,0.028147264,0.027729367,0.027230266,0.026678228,0.02596379,0.025209011,0.024513071,0.023703339,0.023654963,0.024721937,0.026547909,0.028308652,0.030430761,0.034095967,0.03929502,0.046367422,0.054922379,0.064859682,0.075385131,0.087776632,0.102484801,0.118415456,0.133840157,0.14854859,0.162983482,0.176544572,0.188533476,0.197769486,0.203071783,0.204540953,0.206513551,0.212375962,0.218451624,0.220774309,0.221046198,0.222855684,0.225993302,0.228750825,0.23037204,0.23085261,0.231045583,0.23141803,0.232178274,0.233498705,0.234855483,0.236258897,0.238451742,0.241414692,0.243601034,0.244540131,0.244933455,0.24575679,0.247255334,0.248823684,0.24992792,0.250764871,0.252078594,0.25357548,0.254885388,0.256267559,0.257260311,0.257541584,0.257363496,0.256802713,0.254526606,0.252484594,0.252583922,0.254125116,0.255479119,0.256516986,0.256157343,0.254984724,0.252895434,0.247362287,0.231374788,0.213499246,0.200274827,0.193753289,0.189344075,0.187994034,0.188091305,0.188750334
3,01_23,124.2417737,0.000259733,0.000852533,0.001788641,0.002865369,0.003977783,0.004923748,0.005666662,0.006287631,0.00686938,0.007448944,0.008097178,0.008700567,0.00933351,0.00991285,0.010541322,0.011719686,0.013569006,0.01534473,0.016257219,0.016453498,0.016616915,0.016957399,0.017304767,0.017461694,0.017545265,0.017731152,0.017977111,0.018268865,0.018703872,0.019431862,0.020787463,0.022704002,0.02481359,0.026541982,0.028001781,0.029302246,0.030603755,0.031650483,0.032188916,0.032386436,0.032732092,0.033434557,0.033777137,0.033344192,0.032229033,0.030950121,0.029619645,0.028585957,0.027957896,0.027592752,0.027363139,0.027234117,0.027183361,0.027144913,0.027128429,0.026982072,0.026679171,0.026323085,0.02607421,0.025976715,0.025879009,0.025730312,0.02543011,0.024981164,0.024405211,0.023662268,0.022709168,0.021697806,0.02087365,0.020018318,0.019899666,0.020752056,0.022304343,0.023952026,0.026078521,0.029930158,0.035542711,0.043157771,0.052282718,0.062760476,0.073684526,0.086076384,0.101092208,0.117667058,0.133959363,0.149302088,0.164440197,0.178756448,0.191554863,0.201298732,0.206586137,0.207894126,0.209869199,0.21538578,0.221178631,0.223534952,0.223849182,0.225168648,0.227803158,0.230332064,0.231778671,0.232090845,0.231966919,0.232117719,0.233066009,0.234401144,0.234904564,0.235203664,0.236830477,0.239633893,0.241732102,0.242820749,0.243400723,0.243913913,0.244664693,0.245699581,0.246699479,0.247487212,0.248389218,0.249316004,0.250279878,0.2514687,0.252272108,0.25243688,0.252374653,0.251920733,0.250226695,0.249085563,0.249867323,0.251519568,0.253115772,0.254154918,0.254019512,0.253519787,0.25253869,0.247180099,0.233250355,0.217823407,0.206661883,0.199759678,0.193515598,0.188673106,0.186975423,0.187899946
4,01_33,102.7364149,0.000248653,0.001025517,0.002141235,0.003156177,0.004035186,0.004925584,0.005822708,0.006717182,0.007433668,0.008132789,0.008873834,0.009606897,0.010327799,0.010957594,0.011689692,0.012951571,0.014866206,0.016669562,0.017660894,0.017916164,0.018127723,0.018497319,0.018858818,0.019066187,0.019251391,0.019474119,0.019677133,0.019911861,0.020359955,0.021096598,0.022362946,0.024020956,0.025858682,0.027374903,0.028632523,0.029726268,0.030803259,0.031668626,0.032192962,0.032487417,0.032755776,0.033123951,0.033231755,0.032879569,0.032080263,0.031232682,0.030424813,0.029821081,0.029385281,0.029134837,0.02901694,0.029016804,0.029149266,0.029347105,0.029549212,0.029560789,0.029448981,0.029315757,0.029259025,0.029265271,0.029285276,0.029314663,0.029155823,0.028787975,0.028344153,0.027811972,0.02713081,0.026366274,0.025737932,0.025050671,0.025045608,0.026070259,0.027810189,0.02959786,0.031624363,0.0350977,0.040189689,0.04713543,0.055581123,0.065324612,0.075688901,0.087509074,0.102047855,0.118080324,0.13360609,0.147966571,0.162132722,0.175697452,0.187788945,0.197193619,0.202653775,0.204710273,0.207021401,0.212268673,0.21791286,0.220353729,0.220632765,0.221806863,0.224675584,0.227607723,0.22956504,0.230563789,0.231228993,0.232016376,0.232893048,0.234232569,0.235940637,0.238015279,0.240614778,0.243589695,0.245756888,0.246798919,0.247349489,0.248251502,0.249529906,0.250933694,0.252170172,0.25334636,0.254755442,0.256095367,0.257058409,0.25760926,0.258036624,0.258381905,0.258693175,0.258650946,0.257745413,0.257135511,0.257582044,0.25850287,0.259533396,0.261110435,0.26220356,0.262327062,0.26113235,0.2551174,0.240529353,0.224745214,0.213727911,0.20649508,0.201205227,0.199326379,0.198966893,0.197837731
5,01_36,115.1925426,0.000386856,0.001376194,0.002849673,0.00431033,0.005793688,0.006961809,0.007904195,0.008720243,0.009438502,0.010005157,0.010773359,0.011715693,0.012670906,0.013296755,0.013823127,0.014925539,0.016773504,0.018579535,0.019454904,0.019635062,0.019760319,0.020071295,0.020374592,0.02059665,0.020757608,0.020980977,0.02122236,0.021567783,0.022001068,0.02271288,0.023958014,0.025714074,0.027613492,0.029307494,0.030822318,0.032085775,0.033159103,0.034002369,0.0346059,0.03505351,0.035498243,0.03608546,0.036336107,0.035986885,0.035011952,0.033975097,0.032924018,0.032171071,0.031654743,0.03142613,0.031364876,0.031528384,0.03176282,0.031956793,0.032034196,0.031967536,0.031784616,0.031689123,0.031717151,0.031867933,0.031931909,0.031938623,0.031753182,0.031411868,0.03098013,0.030494202,0.029921579,0.029272234,0.028619381,0.027748382,0.027747516,0.02889082,0.030830533,0.032654029,0.034838732,0.038523724,0.043791909,0.051018588,0.059873423,0.070216807,0.081221986,0.093984067,0.109329331,0.126180899,0.142746162,0.158667252,0.174590123,0.1895917,0.202781938,0.212788034,0.218330057,0.219603987,0.221444762,0.227391093,0.233896187,0.236554506,0.237008627,0.238710637,0.241902608,0.244643723,0.246177578,0.246407053,0.246268005,0.24614251,0.246094384,0.246429784,0.24679244,0.24732855,0.249085475,0.252044806,0.254496755,0.255691558,0.256327167,0.257095011,0.258254002,0.259741643,0.261287555,0.262851809,0.264746214,0.266650337,0.268184064,0.269569731,0.270586342,0.271145603,0.271357069,0.271052687,0.269178762,0.267496043,0.26766391,0.268651631,0.269243908,0.269788212,0.269595298,0.268499732,0.266593162,0.26093731,0.245754292,0.228967288,0.216350586,0.209843101,0.206454333,0.206861659,0.207781154,0.209304413
6,01_37,105.6228538,0.000142234,0.000647969,0.001449334,0.002378825,0.003255247,0.004167712,0.005046058,0.005932359,0.006592492,0.007174774,0.007799825,0.008500717,0.009245294,0.009921265,0.010646707,0.011801484,0.013569637,0.015259866,0.016173418,0.016392669,0.016545631,0.016848067,0.017177561,0.017402918,0.017531397,0.017684848,0.017879612,0.018158726,0.018576456,0.019278952,0.020478224,0.022085,0.023833482,0.025315398,0.026536106,0.027560262,0.028591763,0.029421344,0.029830365,0.029968912,0.030251755,0.03079762,0.031066361,0.030723561,0.029855571,0.028823145,0.027762535,0.026990289,0.026587781,0.026395756,0.026298998,0.026343754,0.026504011,0.026592634,0.026609913,0.026505365,0.026384317,0.026291797,0.02626727,0.026331518,0.026362302,0.026330042,0.026083948,0.025686536,0.025166622,0.02456241,0.023860214,0.023114816,0.022424982,0.02160174,0.021484583,0.022423803,0.024106793,0.025691919,0.027454915,0.030693156,0.035636461,0.042454669,0.050774296,0.060373454,0.070724935,0.082808362,0.097812902,0.114319812,0.130388713,0.145597511,0.160907387,0.175665136,0.188792475,0.19909377,0.205102602,0.207317668,0.209686599,0.215153382,0.221106546,0.223876625,0.224385941,0.225669977,0.228597176,0.231540896,0.23330293,0.233810077,0.233911417,0.234184078,0.234666238,0.235495167,0.236546598,0.237977508,0.240117506,0.24279853,0.244846002,0.24591858,0.246586339,0.247718946,0.249434191,0.251069162,0.252183594,0.252996341,0.254091812,0.255301841,0.256477454,0.257511457,0.25833411,0.258802875,0.258920561,0.258590128,0.257582987,0.257014639,0.257451143,0.258638925,0.259102257,0.259898463,0.260120866,0.259769201,0.257500762,0.251035713,0.237590348,0.223058979,0.211985269,0.203879301,0.199007288,0.199186079,0.200165888,0.198793391
7,01_40,101.2935124,0.000393418,0.001431811,0.002984034,0.004340086,0.005557733,0.006566937,0.00747279,0.008281155,0.008948757,0.009447858,0.010035594,0.010749082,0.011568444,0.012241865,0.012959708,0.014067705,0.015723279,0.017292611,0.018125233,0.018329436,0.018453591,0.018708259,0.018912838,0.018991687,0.019073783,0.019247227,0.019486714,0.019791359,0.020212749,0.020881672,0.022133364,0.023930643,0.025927979,0.027616477,0.029050026,0.030182868,0.031206406,0.031991714,0.032538575,0.032856779,0.033201193,0.033759247,0.033980798,0.03349711,0.032335096,0.031070189,0.029792132,0.028866385,0.028312989,0.028106021,0.028026938,0.028077096,0.028163072,0.028241224,0.028226094,0.027964967,0.027516505,0.027152894,0.027026097,0.027125745,0.027169218,0.027125209,0.026818141,0.026352668,0.025767241,0.025128645,0.024340563,0.02351827,0.022740212,0.021827931,0.021639381,0.022505647,0.024089366,0.025649777,0.027616376,0.031245992,0.036659696,0.044049702,0.053021118,0.063381681,0.074434455,0.087228846,0.102959167,0.120416375,0.137776101,0.154676684,0.171881619,0.188489144,0.203699689,0.215605302,0.222209337,0.223828685,0.225933602,0.232101606,0.238971023,0.2417842,0.242016199,0.243374018,0.246612475,0.249515365,0.250906116,0.250749351,0.250081362,0.249701312,0.249609831,0.249986901,0.25037477,0.251212295,0.253192185,0.256121879,0.258363617,0.259255361,0.259627075,0.260687356,0.262553119,0.264384061,0.265593853,0.2666076,0.267935539,0.26924946,0.27026328,0.270846568,0.271659122,0.272714022,0.274122061,0.275534696,0.276495422,0.276715374,0.276506195,0.276187583,0.276043702,0.27653837,0.277695277,0.279617282,0.280250672,0.274757545,0.260551606,0.24611214,0.236220843,0.230305324,0.225236512,0.222009319,0.218104628,0.214354258
8,01_41,122.4516333,4.97E-05,0.000349365,0.000921664,0.001742966,0.002618098,0.003366441,0.003978212,0.004598652,0.005234861,0.0057979,0.006512654,0.007348516,0.008196849,0.008881878,0.009493964,0.010562664,0.012203806,0.013847144,0.014727085,0.015005086,0.015155965,0.015403745,0.01561591,0.015710865,0.015752655,0.015912554,0.016131183,0.016453632,0.016927698,0.017693241,0.019056039,0.020931656,0.02301772,0.024873918,0.026528176,0.027878057,0.029080041,0.029964219,0.03043241,0.030632247,0.030974038,0.031596621,0.031877951,0.031443267,0.030284742,0.028892046,0.027381603,0.026289657,0.025676159,0.025463976,0.025329105,0.025363396,0.025408718,0.025459669,0.025377006,0.025144802,0.02476832,0.024476556,0.0243254,0.024332287,0.024328898,0.024329184,0.024095106,0.023643408,0.02299365,0.022306199,0.02143821,0.020504181,0.019666893,0.018744162,0.018483588,0.019178078,0.020635446,0.022281107,0.024414893,0.028276818,0.033885462,0.041597846,0.051012214,0.061917185,0.073477157,0.086778934,0.103118217,0.121264162,0.139207672,0.156448438,0.173883379,0.190682435,0.20594672,0.217988518,0.224678955,0.226126124,0.227773497,0.233994589,0.241228783,0.244028211,0.243775669,0.244694956,0.24778522,0.250642817,0.252095448,0.252009224,0.251419848,0.250981174,0.250597106,0.250642126,0.25115404,0.252344054,0.254716575,0.25801349,0.260500995,0.261428868,0.261703184,0.262618515,0.264242796,0.265874512,0.266952903,0.267830739,0.269282365,0.271137794,0.272789646,0.273925111,0.274830894,0.275517325,0.276154655,0.27715565,0.278102636,0.278628745,0.27892183,0.279254944,0.278960022,0.278561227,0.27854021,0.27963145,0.279941874,0.275906935,0.263250312,0.249255475,0.238845529,0.232157908,0.226477671,0.223779528,0.220767593,0.216429616
9,01_42,80.51530395,0.000134323,0.000653872,0.001541478,0.002636247,0.003711384,0.004640066,0.005379326,0.00608427,0.00666764,0.007217461,0.007868925,0.008624037,0.009344104,0.009838308,0.010273016,0.011234366,0.012834864,0.014403662,0.015273579,0.015586673,0.015809766,0.016136339,0.016441796,0.016580065,0.016633888,0.016817284,0.017172851,0.017579897,0.017971838,0.018582531,0.019787169,0.021533429,0.023418673,0.02511323,0.026621218,0.027892346,0.028930114,0.029711844,0.030303849,0.030749863,0.031208835,0.031765922,0.03200504,0.031662128,0.030719098,0.029608467,0.028406216,0.02748498,0.026818721,0.026467171,0.02628031,0.026316671,0.026389636,0.026447375,0.026417236,0.026266773,0.025987093,0.025772006,0.025722173,0.025870535,0.025886723,0.025741744,0.025318629,0.024865006,0.024347977,0.023792902,0.02308684,0.022378698,0.021659868,0.020778184,0.020644567,0.021537938,0.023079066,0.024654737,0.026762736,0.030400295,0.035639251,0.042754402,0.051475536,0.06155827,0.072360193,0.084898104,0.100190544,0.116897786,0.133210339,0.149031387,0.165294887,0.181096134,0.195380816,0.206548497,0.212873126,0.214672283,0.217073364,0.223772387,0.230858316,0.233157774,0.232450185,0.233323462,0.236498241,0.239519987,0.241042316,0.241098977,0.240640943,0.2402427,0.239752565,0.239625261,0.239649736,0.240285829,0.242142094,0.245076433,0.247174956,0.247825711,0.247874589,0.248540189,0.24990901,0.251501052,0.252834851,0.254082832,0.255241646,0.256221292,0.257247288,0.258639133,0.259817533,0.260273613,0.260322307,0.260682058,0.260963885,0.261030459,0.261114952,0.261167969,0.260744967,0.260450446,0.260765775,0.262197864,0.262866172,0.258121284,0.243328563,0.228434583,0.219796435,0.216445477,0.212715626,0.210207001,0.206786375,0.202613319
10,01_43,68.26173975,8.63E-05,0.000560572,0.001309771,0.002242237,0.00320577,0.004099286,0.004844737,0.005442077,0.005970467,0.006393239,0.00705288,0.007846409,0.008737837,0.009373573,0.009860953,0.010822626,0.012398716,0.01399695,0.014828744,0.015117277,0.015333798,0.015673953,0.015969562,0.01608297,0.016112389,0.01628248,0.016558057,0.016923686,0.01736939,0.01807218,0.019261411,0.020887415,0.022656415,0.024192938,0.025521968,0.026626563,0.027621931,0.028408279,0.028901488,0.02920042,0.029559313,0.030103814,0.030311806,0.029942125,0.029028513,0.028066948,0.027125787,0.026484401,0.026026679,0.025775938,0.02567863,0.025828704,0.026007192,0.026169627,0.026287302,0.026282529,0.026112812,0.025944079,0.025938635,0.026011126,0.02608169,0.026154162,0.026036682,0.025638139,0.025159598,0.024675289,0.024065694,0.023389324,0.022795766,0.022121043,0.022095476,0.023077955,0.024708761,0.026323022,0.028218679,0.031581297,0.036508746,0.043193803,0.051254327,0.060566033,0.07038583,0.081702601,0.095100956,0.109424854,0.123156018,0.136141641,0.14909237,0.161376432,0.172563949,0.181042874,0.185837766,0.187104714,0.1891454,0.194327459,0.199501206,0.201076644,0.200920761,0.202384867,0.205489533,0.20837924,0.210070385,0.21071321,0.211066321,0.211615791,0.212623865,0.21420175,0.215524953,0.216948868,0.219098139,0.221824126,0.223726597,0.224837686,0.225568389,0.226594494,0.228084633,0.229792537,0.231203291,0.232414314,0.233538891,0.23443929,0.235186422,0.236196331,0.237211693,0.238082333,0.239081364,0.239989924,0.239745428,0.239294624,0.239811703,0.240650316,0.241835703,0.243184188,0.24450326,0.246409958,0.247553531,0.243363763,0.229441179,0.215121962,0.205358284,0.201157753,0.196946015,0.192688091,0.188180899,0.184541364
