New_Tree_ID,Original_Tree_ID,AGB,sun_a_390nm,sun_a_394nm,sun_a_398nm,sun_a_402nm,sun_a_406nm,sun_a_410nm,sun_a_414nm,sun_a_418nm,sun_a_422nm,sun_a_426nm,sun_a_430nm,sun_a_434nm,sun_a_438nm,sun_a_442nm,sun_a_446nm,sun_a_450nm,sun_a_454nm,sun_a_458nm,sun_a_462nm,sun_a_466nm,sun_a_470nm,sun_a_474nm,sun_a_478nm,sun_a_482nm,sun_a_486nm,sun_a_490nm,sun_a_494nm,sun_a_498nm,sun_a_502nm,sun_a_506nm,sun_a_510nm,sun_a_514nm,sun_a_518nm,sun_a_522nm,sun_a_526nm,sun_a_530nm,sun_a_534nm,sun_a_538nm,sun_a_542nm,sun_a_546nm,sun_a_550nm,sun_a_554nm,sun_a_558nm,sun_a_562nm,sun_a_566nm,sun_a_570nm,sun_a_574nm,sun_a_578nm,sun_a_582nm,sun_a_586nm,sun_a_590nm,sun_a_594nm,sun_a_598nm,sun_a_602nm,sun_a_606nm,sun_a_610nm,sun_a_614nm,sun_a_618nm,sun_a_622nm,sun_a_626nm,sun_a_630nm,sun_a_634nm,sun_a_638nm,sun_a_642nm,sun_a_646nm,sun_a_650nm,sun_a_654nm,sun_a_658nm,sun_a_662nm,sun_a_666nm,sun_a_670nm,sun_a_674nm,sun_a_678nm,sun_a_682nm,sun_a_686nm,sun_a_690nm,sun_a_694nm,sun_a_698nm,sun_a_702nm,sun_a_706nm,sun_a_710nm,sun_a_714nm,sun_a_718nm,sun_a_722nm,sun_a_726nm,sun_a_730nm,sun_a_734nm,sun_a_738nm,sun_a_742nm,sun_a_746nm,sun_a_750nm,sun_a_754nm,sun_a_758nm,sun_a_762nm,sun_a_766nm,sun_a_770nm,sun_a_774nm,sun_a_778nm,sun_a_782nm,sun_a_786nm,sun_a_790nm,sun_a_794nm,sun_a_798nm,sun_a_802nm,sun_a_806nm,sun_a_810nm,sun_a_814nm,sun_a_818nm,sun_a_822nm,sun_a_826nm,sun_a_830nm,sun_a_834nm,sun_a_838nm,sun_a_842nm,sun_a_846nm,sun_a_850nm,sun_a_854nm,sun_a_858nm,sun_a_862nm,sun_a_866nm,sun_a_870nm,sun_a_874nm,sun_a_878nm,sun_a_882nm,sun_a_886nm,sun_a_890nm,sun_a_894nm,sun_a_898nm,sun_a_902nm,sun_a_906nm,sun_a_910nm,sun_a_914nm,sun_a_918nm,sun_a_922nm,sun_a_926nm,sun_a_930nm,sun_a_934nm,sun_a_938nm,sun_a_942nm,sun_a_946nm,sun_a_950nm,sun_a_954nm,sun_a_958nm,sun_a_962nm
1,01_12,78.38676803,0.000267295,0.001350398,0.002867905,0.004268503,0.005464733,0.006491866,0.007378476,0.008189733,0.008855131,0.009351712,0.010021575,0.010822193,0.011649483,0.012192543,0.01281168,0.014137166,0.016185492,0.018021487,0.018908293,0.01921258,0.019491038,0.020001719,0.02036885,0.020472353,0.020404598,0.020571111,0.020853203,0.0212796,0.02187041,0.022773852,0.024015453,0.025572543,0.027174319,0.02868775,0.030114733,0.031385195,0.032467779,0.033340437,0.034005931,0.034552162,0.035111139,0.03583248,0.036253495,0.036167478,0.035537886,0.03480677,0.034086073,0.033528327,0.033038597,0.032707211,0.032706228,0.032962295,0.033197729,0.03339524,0.033617527,0.03372354,0.033715962,0.033708615,0.03375248,0.033769775,0.033829128,0.033868962,0.03386272,0.033771042,0.033595437,0.033164284,0.03247631,0.031819606,0.031286331,0.030785492,0.031076542,0.032379403,0.034337724,0.036127422,0.038346153,0.041928216,0.046948983,0.053602321,0.061499507,0.070611434,0.080194434,0.091589381,0.104239864,0.117253025,0.129171989,0.139994436,0.149913626,0.158658662,0.166160373,0.171765756,0.175643587,0.177894567,0.181078357,0.186598318,0.190308741,0.189947276,0.188895111,0.190936042,0.194610419,0.197653778,0.199868187,0.201400269,0.20272831,0.203969832,0.205605632,0.208359196,0.211554528,0.214281702,0.216731723,0.219204577,0.220948206,0.221571887,0.22170452,0.2222362,0.223451003,0.225144812,0.226892137,0.228575648,0.230062982,0.230911269,0.231215505,0.23191619,0.232607078,0.232702307,0.232683798,0.233170506,0.232569124,0.231953882,0.232952965,0.23533073,0.238379828,0.241291975,0.242287311,0.243030285,0.243744309,0.241389735,0.228480693,0.214749553,0.206431003,0.203845898,0.19904015,0.192440492,0.186022541,0.181636077
2,01_21,109.9667645,0.000227461,0.001137781,0.002461392,0.003750203,0.004920808,0.005892106,0.006650125,0.007264764,0.007808234,0.00826194,0.008932905,0.009860798,0.010871624,0.011511635,0.012105949,0.013425245,0.015453362,0.017281856,0.018213851,0.018539513,0.018833027,0.019269835,0.01965036,0.019795211,0.019873343,0.020160503,0.020561585,0.021015869,0.021523212,0.022346006,0.023620373,0.025280734,0.027033668,0.028685447,0.030195143,0.031514599,0.032732352,0.033654155,0.034018434,0.034181365,0.034628959,0.035562961,0.036046778,0.035761335,0.034734453,0.033714082,0.032715668,0.032067218,0.031661264,0.031520104,0.031514634,0.031627364,0.031700947,0.03173164,0.031732227,0.031682581,0.031628399,0.031675917,0.031758981,0.031843877,0.031865271,0.031807021,0.031545399,0.031174202,0.030739577,0.030214798,0.02947442,0.028705413,0.028012707,0.027246781,0.027297243,0.028410607,0.030316747,0.032114178,0.034403687,0.038233832,0.043472637,0.050481901,0.058893559,0.068720829,0.079174961,0.091820544,0.10599678,0.120530721,0.13397757,0.146646732,0.158690897,0.169666182,0.179382979,0.186742747,0.191425566,0.193531877,0.196757224,0.202852897,0.207149566,0.207191157,0.206371768,0.208459832,0.211812622,0.214483888,0.216121141,0.216826691,0.21755619,0.218776993,0.221228247,0.224597989,0.227388951,0.22931024,0.231561975,0.234244862,0.235962496,0.236651493,0.236893049,0.23742927,0.238620427,0.240187077,0.241505731,0.242617918,0.243681738,0.244462364,0.245078385,0.246415276,0.247491932,0.247746509,0.247792699,0.248051514,0.246803899,0.245718444,0.24705511,0.249948887,0.25306385,0.254917709,0.254442588,0.254172245,0.254644138,0.252903313,0.239905005,0.2250714,0.21397386,0.2103194,0.205741879,0.199840123,0.193873128,0.190547695
3,01_23,124.2417737,0.000499993,0.001541358,0.003075261,0.004699465,0.006331037,0.007702684,0.008629292,0.009405033,0.010125012,0.010953697,0.011730856,0.012341974,0.012876547,0.013480573,0.01416473,0.015387121,0.017253225,0.019162009,0.02024859,0.020537171,0.020692152,0.02099224,0.021339574,0.021549471,0.021728384,0.021977611,0.022258841,0.022549447,0.023065246,0.023885939,0.025439511,0.027615695,0.03013166,0.0322592,0.03406272,0.035646671,0.037195025,0.038475326,0.039121571,0.039344236,0.039681541,0.040362852,0.040674592,0.040138582,0.038959938,0.037598997,0.036261858,0.03516941,0.03455502,0.034140327,0.033878577,0.033715183,0.033649839,0.033508502,0.03339538,0.033182816,0.032795678,0.032346787,0.032094599,0.032072918,0.032056783,0.031980051,0.031702206,0.031231725,0.030639103,0.029843103,0.028793489,0.027609195,0.026682104,0.025747955,0.025544428,0.026342549,0.027880788,0.029874536,0.032388347,0.036966106,0.043640982,0.052555602,0.062868646,0.074503112,0.086770138,0.100548826,0.117417611,0.135539189,0.152404933,0.166994589,0.181000632,0.194507357,0.20652989,0.21599392,0.221749257,0.224737018,0.227420035,0.232187672,0.236711568,0.237853568,0.236606915,0.236615873,0.239117814,0.24222465,0.244258911,0.245148894,0.245644002,0.24695832,0.249366831,0.252082125,0.254165355,0.255751155,0.257508719,0.259400076,0.260775514,0.261482459,0.261869285,0.262733854,0.264303638,0.265831438,0.266725543,0.267104185,0.267815205,0.268829783,0.2700711,0.27113192,0.272099815,0.273150639,0.274304021,0.275085782,0.275566526,0.276728847,0.278841003,0.281077942,0.283370613,0.285270617,0.286606096,0.287605976,0.287681536,0.284203452,0.275403332,0.263737256,0.253587649,0.243881796,0.2358162,0.231261912,0.229674803,0.226106259
4,01_33,102.7364149,0.000451748,0.001742679,0.00342063,0.004788049,0.00588414,0.006893761,0.007772915,0.008661081,0.009391107,0.010173438,0.010997279,0.011742383,0.012426365,0.013015974,0.013763698,0.015058106,0.017048828,0.018923977,0.019998649,0.020239901,0.020442718,0.020812024,0.021225086,0.021442329,0.021635296,0.021856181,0.022066531,0.022268546,0.022674792,0.023430234,0.024821583,0.026629747,0.028610938,0.030228432,0.031561047,0.032720325,0.033910677,0.034876529,0.035435718,0.035733197,0.036011341,0.036374353,0.036474241,0.036090897,0.03525452,0.03440146,0.033685915,0.03315179,0.032697201,0.032384282,0.032253397,0.032271349,0.032378512,0.032503069,0.032643614,0.032650054,0.032573166,0.032461438,0.032433045,0.032439271,0.032531812,0.032675761,0.032629391,0.032273783,0.031836081,0.031291477,0.030577345,0.029754778,0.029133067,0.028519357,0.028500413,0.0294783,0.031205813,0.033153708,0.035339117,0.039073343,0.044550136,0.051889714,0.060564368,0.070410534,0.080975234,0.092989792,0.107610726,0.123254379,0.137784887,0.150541576,0.162903856,0.174757454,0.185041064,0.192774137,0.197652718,0.200855444,0.204379156,0.20903261,0.212756782,0.213539139,0.21287599,0.213569837,0.216344665,0.219440366,0.221570768,0.222852699,0.223936797,0.225615569,0.228086408,0.23102441,0.233836215,0.236529795,0.239337085,0.241926486,0.243541204,0.244179989,0.244449012,0.245253211,0.24667559,0.248232094,0.249474302,0.250500547,0.251562804,0.252571991,0.253344591,0.25380811,0.254356064,0.25541446,0.256772403,0.257860676,0.258950214,0.260654487,0.262829112,0.2644989,0.266217014,0.267784697,0.269192452,0.270859447,0.272059412,0.268981114,0.26078521,0.250760398,0.242090781,0.23337715,0.225659285,0.219977026,0.215804961,0.210894572
5,01_36,115.1925426,0.000551314,0.001958997,0.003895137,0.005469698,0.006968377,0.008210615,0.009367742,0.01040684,0.011153629,0.011633148,0.012226345,0.01298893,0.013793123,0.014398781,0.015032827,0.016367675,0.018521465,0.020528391,0.021397462,0.021527345,0.021696796,0.02211206,0.022518112,0.022795796,0.022993195,0.023225035,0.023461859,0.023768824,0.024228404,0.025061388,0.026436102,0.028254915,0.030210048,0.031980371,0.033562716,0.034899204,0.036134556,0.037074278,0.037544301,0.037829347,0.038416588,0.039395713,0.039915922,0.039676898,0.038727013,0.037722831,0.036673444,0.035936349,0.035511535,0.035396831,0.035413599,0.035530152,0.035732323,0.035934096,0.036071206,0.036022863,0.035856579,0.035799427,0.035860809,0.036029815,0.036132024,0.036199451,0.036044021,0.035742633,0.035337462,0.034849362,0.034235525,0.033566775,0.032949503,0.032224225,0.032438124,0.033746605,0.035831391,0.037796978,0.040179603,0.0440668,0.049569916,0.056888263,0.065542043,0.075498991,0.086256857,0.098974119,0.113536881,0.128452501,0.142097931,0.154557594,0.166538362,0.177643204,0.187333781,0.19458993,0.199093187,0.201583695,0.204947787,0.210171523,0.214072444,0.214594785,0.214267026,0.215896905,0.219263124,0.222265102,0.224025137,0.224394044,0.224710505,0.225895542,0.228267952,0.231381098,0.234399579,0.236745801,0.238981316,0.241206323,0.242815295,0.243421351,0.243496434,0.244041455,0.245572337,0.247594109,0.249226629,0.250557696,0.251831399,0.252921616,0.253870247,0.255106471,0.256047,0.256576343,0.256921449,0.257065005,0.256585977,0.256966718,0.25936284,0.262414087,0.264920979,0.266598638,0.26701726,0.267080782,0.267082979,0.264087202,0.253183455,0.240445514,0.230101173,0.223301748,0.21793597,0.214851934,0.211969466,0.208638657
6,01_37,105.6228538,0.000178744,0.000732908,0.00151762,0.00243078,0.003271738,0.004230881,0.005179916,0.006198753,0.006898745,0.007528028,0.008137733,0.008807756,0.009483865,0.010158611,0.010839305,0.011954536,0.013681552,0.015387003,0.016305438,0.016528379,0.016693031,0.016972136,0.017275934,0.017487233,0.017645924,0.017787559,0.017972495,0.018214001,0.018627609,0.019342334,0.020584602,0.022248831,0.024061607,0.025609496,0.026800155,0.027816854,0.028892336,0.029824605,0.030247325,0.030390956,0.030723539,0.031313043,0.031598762,0.031241874,0.030374361,0.029316628,0.02823946,0.027459577,0.027050467,0.026787405,0.026590575,0.02655767,0.026648363,0.026598661,0.026455771,0.026282376,0.026202326,0.026160473,0.026148283,0.026220452,0.026246008,0.026194445,0.025920138,0.025517511,0.025017135,0.024414478,0.023717139,0.022950768,0.02222164,0.021367798,0.021199548,0.022057323,0.023607651,0.025198883,0.027012336,0.030324945,0.035367555,0.042221276,0.050395913,0.059666459,0.069827283,0.081773232,0.096391123,0.111789743,0.126072759,0.139098519,0.152279222,0.165132245,0.176275922,0.184760038,0.190265518,0.193942778,0.197680569,0.202090303,0.205335662,0.206207204,0.206140803,0.207321418,0.210151537,0.213100301,0.21494914,0.215690161,0.216183137,0.217203865,0.219027187,0.221413349,0.224090764,0.226689592,0.228841255,0.230417499,0.231314746,0.231719741,0.231838239,0.23291908,0.235150541,0.237239707,0.238187337,0.238519034,0.239020435,0.239646768,0.240485806,0.241509366,0.242483087,0.243374574,0.244020427,0.244225886,0.244296001,0.24510528,0.246765238,0.248861318,0.250099088,0.251268701,0.251767187,0.252488802,0.251787145,0.248098318,0.240225994,0.230246986,0.220174395,0.20988,0.201684401,0.197089308,0.193660456,0.189593474
7,01_40,101.2935124,0.000530898,0.001883102,0.003900821,0.005712802,0.007302561,0.008497885,0.009385626,0.010162852,0.0107617,0.011170062,0.011702693,0.012491029,0.013400018,0.014031603,0.014573559,0.015665149,0.017504211,0.019360669,0.020328827,0.020612633,0.020709759,0.020934594,0.021075875,0.021147308,0.021214483,0.0214494,0.021788627,0.022231471,0.022709597,0.023335769,0.024557813,0.0264475,0.028651764,0.030562215,0.032205669,0.033532507,0.034719543,0.035566139,0.035963031,0.036101849,0.036556039,0.037602736,0.038279268,0.037933735,0.036649759,0.035156249,0.033543984,0.03237634,0.031775577,0.031667121,0.031682248,0.031931946,0.032126563,0.032115632,0.031855258,0.031441261,0.030908814,0.030522493,0.030484865,0.030836761,0.030953939,0.03071516,0.030185269,0.029738898,0.029239217,0.028645047,0.027913848,0.027137373,0.026397322,0.025455653,0.025210029,0.026032891,0.027657252,0.029408531,0.031648011,0.035632651,0.041495574,0.049259394,0.058403365,0.068751542,0.079983405,0.093209928,0.109178118,0.125796883,0.141039035,0.154972861,0.169089688,0.182868751,0.195165383,0.204883029,0.210987379,0.213947334,0.216559502,0.221684108,0.22687899,0.228289274,0.227224439,0.227603049,0.230466629,0.233379535,0.235178489,0.23584967,0.236289718,0.237585176,0.239721299,0.242427048,0.24558043,0.248394776,0.250510393,0.252010865,0.253213851,0.253671544,0.253721419,0.254622958,0.256609294,0.25845663,0.259167573,0.259383615,0.260203458,0.261397852,0.262592466,0.263432825,0.264360035,0.265151671,0.266054563,0.267439475,0.269400392,0.271244317,0.272921399,0.274977527,0.276618305,0.277904805,0.279029097,0.280553015,0.281417223,0.279666068,0.273886709,0.26528983,0.256284158,0.24735902,0.240409996,0.235777729,0.230462493,0.223281637
8,01_41,122.4516333,0.000123184,0.000634334,0.001566882,0.002733502,0.004005396,0.005027216,0.005793555,0.006436722,0.007036164,0.007453145,0.008061141,0.008886029,0.009782299,0.010446354,0.011110429,0.012282398,0.014114064,0.015908764,0.016866915,0.017136149,0.017328284,0.017623767,0.017856773,0.017925473,0.017972521,0.018145759,0.01842934,0.018825185,0.019329006,0.020130193,0.021604685,0.023681852,0.025955254,0.027979794,0.02983456,0.031387081,0.032742073,0.033656545,0.034064715,0.034191621,0.034613985,0.035502804,0.036041457,0.035712693,0.034544328,0.033106051,0.031544735,0.030405845,0.029733333,0.029422675,0.029225843,0.029264425,0.029328933,0.029347776,0.029194268,0.028896848,0.02837437,0.027986859,0.027873953,0.028056144,0.028136427,0.028136098,0.027821644,0.027257459,0.026498,0.025768569,0.024942611,0.024061109,0.023221552,0.022203792,0.021935176,0.022696428,0.02433146,0.026129603,0.028600527,0.0328292,0.0388112,0.046777978,0.056323061,0.067157595,0.078734217,0.092392254,0.108602888,0.125522188,0.141375203,0.156121648,0.17079431,0.184564323,0.196672441,0.205987096,0.211981803,0.215138485,0.218213608,0.223422837,0.227886716,0.228599604,0.227690359,0.228739136,0.231950901,0.234735439,0.236467165,0.237051985,0.237530846,0.23871068,0.240827774,0.243684273,0.247037531,0.249861528,0.252216226,0.254179634,0.255561646,0.255685272,0.255251309,0.255965828,0.258105314,0.260292275,0.261387045,0.261981588,0.262712277,0.263306208,0.263926755,0.264723504,0.26581915,0.266945489,0.268466332,0.270665513,0.272856992,0.274666272,0.276644636,0.279052182,0.280845632,0.28170771,0.281903905,0.282321909,0.283049309,0.283255982,0.278615869,0.270304253,0.260617092,0.252000511,0.244173532,0.237748057,0.230488935,0.22238447
9,01_42,80.51530395,0.000234399,0.001038472,0.002366269,0.003830047,0.005318042,0.006434307,0.007201886,0.00778454,0.008303943,0.008735039,0.009355704,0.010200426,0.011095865,0.011663556,0.012158003,0.013256598,0.0150384,0.016765678,0.01771726,0.018101577,0.018379096,0.01873212,0.019010166,0.019150008,0.019345997,0.019682029,0.020186499,0.020674844,0.021139094,0.021779995,0.023068156,0.024976353,0.027073985,0.028989003,0.030707354,0.032164436,0.033384338,0.034273816,0.034774091,0.035015631,0.035551249,0.036506943,0.037120091,0.036855026,0.035819678,0.034562727,0.033187551,0.032151473,0.031528128,0.031334237,0.031296585,0.031485509,0.031733924,0.031861808,0.031800288,0.031592787,0.031310452,0.03110441,0.03111321,0.031389239,0.031521124,0.031425665,0.030971618,0.030432982,0.029848418,0.029277413,0.028645018,0.028042026,0.027440857,0.026625189,0.026623509,0.027758335,0.029609294,0.031464423,0.033961899,0.038082455,0.043875694,0.051403951,0.060340769,0.070452972,0.08146047,0.094521296,0.110135517,0.126137457,0.140663587,0.153676231,0.16651492,0.178676878,0.189332667,0.197621981,0.203148707,0.206749351,0.21017846,0.214905868,0.218800312,0.219529,0.218751405,0.21966992,0.222908405,0.226157345,0.228226618,0.229124561,0.229701712,0.230994597,0.232796675,0.235298971,0.238544842,0.241707335,0.244062982,0.245801932,0.247119733,0.247525878,0.247465481,0.248343452,0.250282577,0.252222577,0.253341922,0.25418568,0.254991343,0.255700337,0.256709296,0.258455987,0.25996392,0.260283816,0.259963795,0.260588624,0.261932416,0.263733021,0.265907062,0.268618163,0.269916322,0.269896829,0.269828932,0.2706162,0.271220385,0.269154948,0.263225161,0.255082348,0.247340597,0.239718288,0.232397002,0.226274267,0.220243854,0.214011062
10,01_43,68.26173975,0.000116404,0.00070457,0.00153557,0.002602144,0.003765676,0.004844223,0.005574683,0.006128661,0.00670812,0.007284006,0.007935148,0.008539469,0.009206052,0.009786452,0.010193722,0.011162435,0.012857045,0.01464852,0.015579749,0.015886163,0.016103595,0.016429551,0.016771246,0.016883154,0.016879243,0.016999943,0.017301205,0.017689586,0.018148901,0.018857674,0.020119257,0.021890054,0.023835126,0.02549988,0.026886686,0.028093647,0.029247263,0.030230027,0.030889649,0.031341355,0.03171006,0.032110346,0.032130952,0.031578822,0.030556708,0.029642724,0.028969004,0.028466876,0.027932449,0.027422762,0.027120125,0.027013698,0.027073494,0.027212351,0.027409505,0.027406463,0.027179423,0.026869605,0.026741108,0.026753853,0.026818356,0.026983815,0.026981589,0.026609532,0.026083268,0.025493276,0.024693777,0.023825611,0.023173611,0.022515083,0.022421257,0.023366411,0.024981012,0.026820147,0.028923477,0.032546517,0.037756533,0.044752952,0.053095363,0.062650884,0.072766762,0.084091706,0.097635173,0.111987282,0.125266903,0.136851241,0.148062552,0.158746892,0.168132438,0.175302041,0.180008389,0.182982449,0.185970441,0.190263045,0.19379409,0.194153657,0.192878642,0.193299494,0.196087578,0.199242444,0.201478046,0.20287686,0.204043954,0.205825559,0.208310563,0.21117612,0.213926046,0.216455959,0.218838479,0.220990131,0.222391328,0.222990688,0.223094119,0.223849633,0.225530025,0.22749455,0.2289132,0.229869568,0.230577437,0.230945108,0.231231393,0.231478003,0.231956248,0.233002387,0.234727894,0.236170348,0.236841317,0.237541823,0.23886003,0.239882087,0.241813753,0.244083347,0.246238702,0.248009249,0.249851774,0.248982373,0.241777723,0.232142112,0.223284784,0.216570117,0.209257788,0.201250427,0.193853995,0.187276411
