New_Tree_ID,Original_Tree_ID,AGB,sun_b_390nm,sun_b_394nm,sun_b_398nm,sun_b_402nm,sun_b_406nm,sun_b_410nm,sun_b_414nm,sun_b_418nm,sun_b_422nm,sun_b_426nm,sun_b_430nm,sun_b_434nm,sun_b_438nm,sun_b_442nm,sun_b_446nm,sun_b_450nm,sun_b_454nm,sun_b_458nm,sun_b_462nm,sun_b_466nm,sun_b_470nm,sun_b_474nm,sun_b_478nm,sun_b_482nm,sun_b_486nm,sun_b_490nm,sun_b_494nm,sun_b_498nm,sun_b_502nm,sun_b_506nm,sun_b_510nm,sun_b_514nm,sun_b_518nm,sun_b_522nm,sun_b_526nm,sun_b_530nm,sun_b_534nm,sun_b_538nm,sun_b_542nm,sun_b_546nm,sun_b_550nm,sun_b_554nm,sun_b_558nm,sun_b_562nm,sun_b_566nm,sun_b_570nm,sun_b_574nm,sun_b_578nm,sun_b_582nm,sun_b_586nm,sun_b_590nm,sun_b_594nm,sun_b_598nm,sun_b_602nm,sun_b_606nm,sun_b_610nm,sun_b_614nm,sun_b_618nm,sun_b_622nm,sun_b_626nm,sun_b_630nm,sun_b_634nm,sun_b_638nm,sun_b_642nm,sun_b_646nm,sun_b_650nm,sun_b_654nm,sun_b_658nm,sun_b_662nm,sun_b_666nm,sun_b_670nm,sun_b_674nm,sun_b_678nm,sun_b_682nm,sun_b_686nm,sun_b_690nm,sun_b_694nm,sun_b_698nm,sun_b_702nm,sun_b_706nm,sun_b_710nm,sun_b_714nm,sun_b_718nm,sun_b_722nm,sun_b_726nm,sun_b_730nm,sun_b_734nm,sun_b_738nm,sun_b_742nm,sun_b_746nm,sun_b_750nm,sun_b_754nm,sun_b_758nm,sun_b_762nm,sun_b_766nm,sun_b_770nm,sun_b_774nm,sun_b_778nm,sun_b_782nm,sun_b_786nm,sun_b_790nm,sun_b_794nm,sun_b_798nm,sun_b_802nm,sun_b_806nm,sun_b_810nm,sun_b_814nm,sun_b_818nm,sun_b_822nm,sun_b_826nm,sun_b_830nm,sun_b_834nm,sun_b_838nm,sun_b_842nm,sun_b_846nm,sun_b_850nm,sun_b_854nm,sun_b_858nm,sun_b_862nm,sun_b_866nm,sun_b_870nm,sun_b_874nm,sun_b_878nm,sun_b_882nm,sun_b_886nm,sun_b_890nm,sun_b_894nm,sun_b_898nm,sun_b_902nm,sun_b_906nm,sun_b_910nm,sun_b_914nm,sun_b_918nm,sun_b_922nm,sun_b_926nm,sun_b_930nm,sun_b_934nm,sun_b_938nm,sun_b_942nm,sun_b_946nm,sun_b_950nm,sun_b_954nm,sun_b_958nm,sun_b_962nm
1,01_12,78.38676803,0.00016831,0.000565798,0.001399608,0.002574526,0.003813136,0.00481916,0.005588338,0.006297923,0.006900148,0.007347579,0.007948154,0.00882363,0.009809787,0.010445045,0.010992903,0.012010916,0.013679501,0.015300454,0.016234249,0.016540584,0.01671219,0.016902301,0.017093469,0.017244244,0.01741972,0.017695465,0.018143803,0.018654669,0.01895014,0.019196711,0.0200836,0.021700496,0.023589314,0.025212128,0.026652391,0.027709365,0.028461886,0.02898687,0.02937706,0.029707498,0.030205011,0.030952926,0.031444198,0.03134678,0.030674383,0.029689762,0.028469358,0.027526972,0.02708576,0.027056947,0.027185574,0.027535624,0.027941339,0.028258304,0.02848829,0.028517807,0.028364978,0.028215855,0.028242234,0.028485158,0.02862025,0.028564812,0.02823897,0.027886556,0.027466908,0.027128673,0.026794696,0.026386016,0.025809529,0.024945354,0.024829577,0.025949201,0.027884281,0.029657367,0.031557584,0.034875269,0.039732077,0.046456737,0.054828779,0.064738777,0.074983192,0.086465904,0.10060334,0.116628318,0.132379014,0.147183028,0.161787918,0.175769206,0.188181052,0.197853067,0.202763427,0.202791555,0.20273523,0.207356061,0.214504572,0.219046388,0.220755144,0.222293252,0.224911117,0.227419049,0.228904083,0.229193448,0.228987888,0.228633277,0.227834519,0.227210164,0.227298758,0.228393307,0.230562897,0.233595458,0.236159878,0.237635982,0.238667231,0.240060824,0.241778459,0.243367267,0.244574286,0.245622065,0.247290925,0.24939853,0.251380563,0.252775663,0.253975587,0.25495726,0.255471133,0.254711128,0.252050014,0.24988108,0.249556688,0.250594941,0.250128008,0.249293519,0.248198804,0.24644906,0.242408389,0.233740367,0.216764679,0.199234715,0.186211809,0.178497207,0.177254675,0.185072195,0.193287071,0.195878999
2,01_21,109.9667645,1.76E-05,0.00015315,0.000606824,0.001389101,0.002243669,0.003014298,0.003766409,0.004478936,0.005099783,0.005636785,0.006285407,0.006962266,0.007715245,0.008374627,0.009103586,0.010181475,0.011735755,0.013212576,0.014107578,0.014423532,0.014606922,0.014881088,0.015198741,0.015384273,0.015569862,0.015867285,0.016271294,0.016688532,0.017100153,0.017554707,0.018586538,0.02021253,0.022096188,0.023748401,0.025229211,0.026341829,0.027147612,0.027695346,0.028101126,0.028427208,0.028834222,0.029404972,0.029744575,0.029553315,0.028760481,0.027710343,0.026462361,0.025531272,0.025041165,0.024928345,0.024921872,0.02514187,0.025400774,0.025550185,0.025578221,0.025508043,0.025348838,0.025212328,0.02513562,0.025172993,0.025141874,0.025059645,0.024749128,0.024284531,0.023720955,0.023141658,0.02245316,0.021712609,0.021013435,0.020159896,0.020012683,0.021033267,0.022779071,0.024503125,0.026457835,0.029958102,0.035117403,0.042252943,0.050951198,0.060998534,0.071595302,0.083732721,0.098972822,0.116300191,0.133702744,0.150450448,0.167276067,0.183422962,0.197683973,0.208796226,0.214718001,0.215550029,0.216269878,0.221899027,0.229753682,0.234357461,0.235720628,0.237251536,0.240173982,0.243017762,0.244622939,0.244878529,0.244534977,0.244059067,0.243128302,0.242399421,0.242322015,0.243207555,0.245341509,0.248584523,0.251239571,0.252428768,0.252973861,0.254084311,0.255890241,0.25746029,0.258350109,0.258911824,0.260475449,0.262688596,0.264692392,0.266119843,0.267028691,0.267336658,0.266934294,0.265553912,0.262249314,0.259250743,0.258112735,0.258301344,0.257894387,0.258116264,0.257872098,0.255797202,0.251146729,0.241821261,0.222844571,0.201927092,0.186575793,0.177187178,0.172946272,0.176147946,0.182309483,0.186952973
3,01_23,124.2417737,1.95E-05,0.000163708,0.000502021,0.001031274,0.001624529,0.002144813,0.002704032,0.003170229,0.003613748,0.003944191,0.004463499,0.005059159,0.005790473,0.006345127,0.006917914,0.00805225,0.009884788,0.011527451,0.012265849,0.012369826,0.012541678,0.012922558,0.01326996,0.013373917,0.013362146,0.013484694,0.013695381,0.013988282,0.014342499,0.014977785,0.016135416,0.017792309,0.01949552,0.020824764,0.021940841,0.02295782,0.024012484,0.02482564,0.025256262,0.025428636,0.025782643,0.026506262,0.026879682,0.026549801,0.025498129,0.024301245,0.022977432,0.022002504,0.021360772,0.021045177,0.0208477,0.020753051,0.020716884,0.020781324,0.020861478,0.020781329,0.020562663,0.020299383,0.020053822,0.019880512,0.019701235,0.019480573,0.019158014,0.018730602,0.018171319,0.017481433,0.016624848,0.015786416,0.015065197,0.014288681,0.014254903,0.015161563,0.016727899,0.018029517,0.019768696,0.022894211,0.02744444,0.03375994,0.04169679,0.05101784,0.060598915,0.071603942,0.084766805,0.099794928,0.115513793,0.131609587,0.147879761,0.16300554,0.176579836,0.186603544,0.191423016,0.191051234,0.192318362,0.198583888,0.205645694,0.209216337,0.211091449,0.213721424,0.216488502,0.218439477,0.219298432,0.219032797,0.218289836,0.217277118,0.216765186,0.216720164,0.215643773,0.214656172,0.216152235,0.21986771,0.222688691,0.224159039,0.22493216,0.225093972,0.225025749,0.225567725,0.226673415,0.227870239,0.228963231,0.229802225,0.230488656,0.23180548,0.2324444,0.231723121,0.230445286,0.228755684,0.224886864,0.22144228,0.220893643,0.221961195,0.222860931,0.223039219,0.221432927,0.219433599,0.217395843,0.210156745,0.191097377,0.171909557,0.159736118,0.155637561,0.151214997,0.146084301,0.144276043,0.149693634
4,01_33,102.7364149,4.56E-05,0.000308355,0.000861841,0.001524305,0.002186232,0.002957406,0.003872501,0.004773283,0.005476228,0.006092141,0.00675039,0.007471411,0.008229232,0.008899213,0.009615685,0.010845036,0.012683584,0.014415148,0.015323138,0.015592427,0.015812728,0.016182614,0.016492551,0.016690045,0.016867486,0.017092058,0.017287735,0.017555176,0.018045117,0.018762961,0.019904309,0.021412165,0.023106427,0.024521374,0.025703999,0.026732211,0.027695841,0.028460723,0.028950207,0.029241637,0.029500212,0.029873549,0.029989268,0.029668242,0.028906006,0.028063904,0.02716371,0.026490372,0.026073362,0.025885391,0.025780483,0.02576226,0.025920019,0.026191141,0.026454809,0.026471525,0.026324796,0.026170077,0.026085006,0.026091271,0.02603874,0.025953565,0.025682254,0.025302166,0.024852225,0.024332467,0.023684275,0.02297777,0.022342797,0.021581985,0.021590803,0.022662218,0.024414565,0.026042013,0.027909609,0.031122058,0.035829242,0.042381146,0.050597878,0.06023869,0.070402568,0.082028356,0.096484984,0.11290627,0.129427293,0.145391566,0.161361587,0.17663745,0.190536825,0.201613102,0.207654833,0.208565102,0.209663646,0.215504736,0.223068939,0.22716832,0.22838954,0.23004389,0.233006503,0.235775081,0.237559311,0.238274879,0.238521188,0.238417183,0.237699689,0.237440727,0.23804506,0.239500763,0.241892471,0.245252904,0.247972572,0.249417849,0.250249965,0.251249793,0.252384223,0.253635294,0.254866041,0.256192173,0.25794808,0.259618744,0.260772227,0.261410411,0.261717185,0.26134935,0.260613947,0.259441216,0.256540611,0.253616536,0.252334976,0.25250684,0.252849777,0.254436173,0.255214667,0.253794677,0.250205289,0.241253687,0.220273497,0.198730031,0.185365042,0.17961301,0.176751169,0.178675733,0.182128825,0.184780889
5,01_36,115.1925426,0.000222398,0.00079339,0.001804208,0.003150961,0.004618999,0.005713003,0.006440648,0.007033646,0.007723375,0.008377166,0.009320373,0.010442457,0.011548689,0.012194729,0.012613426,0.013483403,0.015025542,0.016630679,0.017512347,0.017742778,0.017823842,0.01803053,0.018231071,0.018397504,0.018522021,0.018736919,0.018982861,0.019366742,0.019773732,0.020364372,0.021479925,0.023173234,0.025016935,0.026634616,0.028081919,0.029272347,0.030183649,0.030930459,0.0316675,0.032277673,0.032579898,0.032775208,0.032756291,0.032296872,0.031296892,0.030227363,0.029174592,0.028405793,0.027797952,0.027455428,0.027316154,0.027526617,0.027793316,0.02797949,0.027997186,0.027912209,0.027712653,0.027578818,0.027573493,0.027706052,0.027731793,0.027677794,0.027462343,0.027081103,0.026622798,0.026139042,0.025607634,0.024977693,0.024289259,0.023272539,0.023056907,0.024035035,0.025829674,0.027511079,0.029497861,0.032980648,0.038013901,0.045148913,0.054204804,0.064934623,0.076187115,0.088994015,0.105121782,0.123909298,0.143394392,0.162776911,0.182641884,0.201540196,0.218230094,0.230986138,0.237566927,0.237624278,0.237941738,0.244610663,0.253719929,0.258514227,0.259750228,0.261524368,0.264542092,0.267022343,0.26833002,0.268420063,0.267825506,0.266389478,0.263920817,0.26147847,0.259185302,0.257911299,0.259189635,0.262883289,0.266178214,0.267961766,0.2691579,0.270148567,0.270935667,0.271889176,0.273348482,0.275145923,0.277661028,0.280379058,0.282497881,0.284032991,0.285125683,0.285714863,0.285792688,0.285040369,0.281771546,0.278025369,0.27596498,0.274889176,0.273566837,0.272977787,0.272173336,0.269918681,0.266103344,0.257787418,0.23832513,0.217489062,0.2026,0.196384455,0.194972696,0.198871385,0.203592841,0.209970169
6,01_37,105.6228538,0.000105724,0.00056303,0.001381048,0.002326871,0.003238756,0.004104543,0.004912199,0.005665965,0.006286239,0.006821521,0.007461918,0.008193678,0.009006722,0.009683919,0.010454108,0.011648432,0.013457722,0.01513273,0.016041398,0.016256958,0.016398231,0.016723997,0.017079189,0.017318602,0.017416871,0.017582136,0.017786729,0.018103451,0.018525303,0.01921557,0.020371847,0.021921168,0.023605357,0.025021301,0.026272057,0.027303671,0.028291189,0.029018082,0.029413406,0.029546868,0.029779971,0.030282197,0.03053396,0.030205248,0.029336781,0.028329662,0.027285611,0.026521001,0.026125095,0.026004108,0.02600742,0.026129837,0.026359659,0.026586606,0.026764056,0.026728354,0.026566308,0.026423122,0.026386258,0.026442585,0.026478597,0.026465639,0.026247758,0.02585556,0.025316109,0.024710343,0.02400329,0.023278865,0.022628323,0.021835683,0.021769617,0.022790284,0.024605934,0.026184955,0.027897493,0.031061367,0.035905367,0.042688063,0.05115268,0.061080449,0.071622588,0.083843493,0.09923468,0.116849882,0.134704667,0.152096502,0.169535551,0.186198028,0.201309028,0.213427502,0.219939687,0.220692559,0.22169263,0.228216462,0.236877429,0.241546046,0.242631079,0.244018536,0.247042815,0.24998149,0.251656719,0.251929993,0.251639697,0.25116429,0.250305288,0.249576984,0.249002431,0.249265423,0.251393756,0.255179562,0.258377259,0.26011742,0.261334439,0.262518812,0.26371784,0.264898616,0.266179851,0.267473649,0.269163188,0.270956913,0.272469101,0.273513548,0.274185132,0.274231175,0.273820695,0.272954371,0.270869974,0.268923999,0.268137048,0.268416533,0.268105426,0.268528224,0.268474546,0.267049601,0.263214378,0.253973108,0.234954702,0.215870972,0.203796143,0.197878602,0.196330175,0.20128285,0.20667132,0.207993307
7,01_40,101.2935124,0.000255937,0.00098052,0.002067246,0.002967369,0.003812905,0.004635989,0.005559955,0.006399458,0.007135814,0.007725655,0.008368495,0.009007134,0.00973687,0.010452128,0.011345857,0.012470261,0.013942347,0.015224553,0.01592164,0.016046239,0.016197423,0.016481923,0.016749802,0.016836066,0.016933083,0.017045054,0.017184802,0.017351247,0.017715901,0.018427575,0.019708914,0.021413786,0.023204193,0.024670739,0.025894383,0.02683323,0.027693268,0.02841729,0.029114118,0.029611708,0.029846347,0.029915758,0.029682329,0.029060486,0.028020434,0.02698413,0.02604028,0.02535643,0.024850401,0.02454492,0.024371628,0.024222245,0.02419958,0.024366816,0.024596929,0.024488673,0.024124196,0.023783294,0.02356733,0.02341473,0.023384497,0.023535258,0.023451013,0.022966438,0.022295265,0.021612243,0.020767277,0.019899168,0.019083102,0.01820021,0.018068732,0.018978402,0.02052148,0.021891023,0.023584742,0.026859332,0.031823819,0.038840011,0.047638871,0.05801182,0.068885504,0.081247764,0.096740217,0.115035866,0.134513167,0.154380507,0.174673551,0.194109536,0.212233995,0.226327574,0.233431296,0.233710037,0.235307701,0.242519105,0.251063056,0.255279125,0.256807959,0.259144987,0.262758322,0.265651195,0.266633744,0.265649033,0.263873006,0.261817447,0.259498364,0.257546753,0.25516911,0.254029813,0.255873978,0.260232894,0.263513383,0.264839178,0.26553273,0.266751754,0.268496944,0.270311492,0.272020133,0.273831586,0.27566762,0.277101067,0.277934094,0.278260311,0.278958209,0.280276373,0.282189558,0.283629918,0.283590453,0.282186431,0.280090991,0.27739764,0.2754691,0.275171936,0.276361458,0.278681549,0.27908412,0.269849023,0.247216503,0.22693445,0.216157527,0.213251628,0.210063028,0.208240909,0.205746763,0.205426879
8,01_41,122.4516333,-2.37E-05,6.44E-05,0.000276447,0.00075243,0.001230801,0.001705666,0.002162869,0.002760583,0.003433557,0.004142655,0.004964168,0.005811003,0.0066114,0.007317402,0.007877499,0.00884293,0.010293549,0.011785524,0.012587256,0.012874023,0.012983646,0.013183723,0.013375046,0.013496257,0.013532789,0.013679349,0.013833027,0.01408208,0.01452639,0.015256289,0.016507394,0.018181461,0.020080186,0.021768041,0.023221793,0.024369033,0.025418009,0.026271894,0.026800105,0.027072873,0.027334091,0.027690437,0.027714444,0.027173841,0.026025156,0.024678041,0.02321847,0.022173468,0.021618984,0.021505277,0.021432367,0.021462367,0.021488503,0.021571562,0.021559745,0.021392756,0.02116227,0.020966253,0.020776848,0.02060843,0.020521368,0.02052227,0.020368567,0.020029356,0.0194893,0.018843829,0.017933808,0.016947252,0.016112234,0.015284532,0.015031999,0.015659729,0.016939433,0.01843261,0.020229259,0.023724435,0.028959725,0.036417713,0.045701368,0.056676774,0.068220097,0.081165613,0.097633545,0.117006135,0.137040141,0.156775229,0.176972448,0.196800546,0.215220999,0.229989939,0.237376107,0.237113763,0.237333387,0.244566342,0.25457085,0.259456819,0.259860979,0.260650777,0.263619539,0.266550194,0.267723731,0.266966463,0.26530885,0.263251667,0.260366439,0.257599979,0.25527055,0.25482658,0.257216924,0.261847345,0.265440344,0.267172465,0.268155059,0.269271202,0.270380279,0.27145675,0.272518761,0.273679891,0.275852453,0.278969381,0.281652538,0.283126718,0.283842638,0.284089162,0.283842978,0.283645787,0.28334828,0.282591218,0.281199025,0.279457706,0.277074411,0.275414743,0.275176516,0.276940991,0.276834439,0.268557888,0.247884755,0.228206698,0.217073966,0.212315305,0.208781809,0.209810999,0.211046252,0.210474763
9,01_42,80.51530395,3.42E-05,0.000269273,0.000716687,0.001442448,0.002104727,0.002845826,0.003556766,0.004383999,0.005031338,0.005699883,0.006382146,0.007047648,0.007592342,0.008013059,0.00838803,0.009212135,0.010631327,0.012041646,0.012829899,0.013071769,0.013240436,0.013540558,0.013873426,0.014010122,0.013921779,0.013952538,0.014159203,0.01448495,0.014804583,0.015385066,0.016506182,0.018090504,0.019763361,0.021237456,0.022535082,0.023620255,0.024475889,0.025149873,0.025833606,0.026484094,0.026866421,0.027024902,0.026889989,0.02646923,0.025618518,0.024654206,0.023624881,0.022818486,0.022109315,0.021600106,0.021264036,0.021147833,0.021045348,0.021032942,0.021034185,0.02094076,0.020663734,0.020439602,0.020331137,0.020351832,0.020252321,0.020057823,0.01966564,0.019297031,0.018847536,0.018308391,0.017528662,0.016715369,0.015878879,0.014931179,0.014665624,0.015317541,0.016548837,0.017845051,0.019563574,0.022718136,0.027402809,0.034104854,0.042610303,0.052663569,0.063259915,0.075274913,0.090245571,0.107658115,0.12575709,0.144386543,0.164074854,0.183515391,0.201428965,0.215475013,0.222597546,0.222595215,0.223968269,0.232638906,0.24291632,0.246786548,0.246148965,0.246977005,0.250088077,0.252882629,0.253858014,0.253073394,0.251580175,0.249490802,0.246708455,0.243951551,0.240754631,0.238864323,0.240221206,0.244350934,0.24723018,0.248125544,0.248283696,0.248736925,0.249535443,0.250779527,0.25232778,0.253979984,0.255491949,0.256742246,0.257785279,0.258822279,0.259671147,0.260263409,0.260680818,0.260775491,0.259995353,0.258327897,0.256322841,0.253717775,0.251573611,0.251004063,0.251702618,0.253779527,0.254511959,0.24708762,0.223431965,0.201786819,0.192252273,0.193172666,0.193034249,0.194139734,0.193328895,0.191215576
10,01_43,68.26173975,5.61E-05,0.000416574,0.001083972,0.00188233,0.002645864,0.003354348,0.004114791,0.004755493,0.005232813,0.005502472,0.006170611,0.007153348,0.008269623,0.008960694,0.009528184,0.010482816,0.011940388,0.013345381,0.014077738,0.014348391,0.014564002,0.014918356,0.015167877,0.015282786,0.015345534,0.015565018,0.015814908,0.016157785,0.01658988,0.017286686,0.018403565,0.019884775,0.021477703,0.022885996,0.02415725,0.025159479,0.0259966,0.026586531,0.026913327,0.027059484,0.027408566,0.028097283,0.028492661,0.028305427,0.027500319,0.026491172,0.02528257,0.024501926,0.02412091,0.024129115,0.024237135,0.02464371,0.024940891,0.025126902,0.0251651,0.025158596,0.025046201,0.025018552,0.025136162,0.025268399,0.025345023,0.02532451,0.025091775,0.024666747,0.024235927,0.023857302,0.02343761,0.022953037,0.022417921,0.021727003,0.021769694,0.0227895,0.024436509,0.025825897,0.027513881,0.030616077,0.035260958,0.041634654,0.049413291,0.058481183,0.068004898,0.079313496,0.092566739,0.106862426,0.121045133,0.13543204,0.150122188,0.164005971,0.17699546,0.186783707,0.191667143,0.191226979,0.19232036,0.198391873,0.205208323,0.207999631,0.208962879,0.21147024,0.214891489,0.217516037,0.218662724,0.21854956,0.218088689,0.217406023,0.216937168,0.217227381,0.21712386,0.217441778,0.219357798,0.222658121,0.225061866,0.226684685,0.228042658,0.229339355,0.230639241,0.232090525,0.233493382,0.234959061,0.236500344,0.237933472,0.23914145,0.24091466,0.242467137,0.24316228,0.243434835,0.2438095,0.242649539,0.241047424,0.240763376,0.241418544,0.241857654,0.242285029,0.242767817,0.244810666,0.245255288,0.237745154,0.217104635,0.198101811,0.187431784,0.185745389,0.184634242,0.184125755,0.182507804,0.181806318
